index,keyword,count,대분류,중분류,삭제해야하는것,애매한것,요리이름,"효능/영양분/요리스타일(키토, 지중해 등)",맛/식감,대상/시간
1,숟가락,733,단위,,,,,,,
2,스푼,626,단위,,,,,,,
3,소금,499,재료,양념/조미료,,,,,,
4,마늘,474,재료,야채/채소,,,,,,
5,간장,460,재료,양념/조미료,,,,,,
6,양파,453,재료,야채/채소,,,,,,
7,설탕,393,재료,양념/조미료,,,,,,
8,대파,324,재료,야채/채소,,,,,,
9,밥숟가락,293,단위,단위,,,,,,
10,참기름,279,재료,양념/조미료,,,,,,
11,계란,225,재료,달걀/난류,,,,,,
12,당근,190,재료,야채/채소,,,,,,
13,김치,165,재료,해조류,,,,,,
14,양배추,164,재료,야채/채소,,,,,,
15,감자,162,재료,야채/채소,,,,,,
16,고추,155,재료,야채/채소,,,,,,
17,고추장,152,재료,양념/조미료,,,,,,
18,식용유,148,재료,양념/조미료,,,,,,
19,청양고추,148,재료,야채/채소,,,,,,
20,두부,117,재료,두류,,,,,,
21,소고기,116,재료,육류,,,,,,
22,김밥,96,재료,해조류,,,,,,
23,버터,90,재료,유제품,,,,,,
24,돼지고기,87,재료,육류,,,,,,
25,치즈,85,재료,유제품,,,,,,
26,된장,73,재료,양념/조미료,,,,,,
27,콩나물,63,재료,두류,,,,,,
28,표고버섯,59,재료,버섯류,,,,,,
29,깻잎,57,재료,야채/채소,,,,,,
30,양조간장,56,재료,양념/조미료,,,,,,
31,오징어,52,재료,해산물,,,,,,
32,다시마,46,재료,해조류,,,,,,
33,새우,46,재료,해산물,,,,,,
34,새우젓,44,재료,해산물,,,,,,
35,튀김,43,재료,해조류,,,,,,
36,버섯,41,재료,버섯류,,,,,,
37,우유,35,재료,유제품,,,,,,
38,깨소금,32,재료,양념/조미료,,,,,,
39,병아리콩,29,재료,두류,,,,,,
40,돼지,28,재료,육류,,,,,,
41,땅콩,27,재료,두류,,,,,,
42,밀가루,27,재료,면류/밀가루류,,,,,,
43,미역,25,재료,해조류,,,,,,
44,라면,22,재료,면류/밀가루류,,,,,,
45,브로콜리,19,재료,야채/채소,,,,,,
46,배추,18,재료,야채/채소,,,,,,
47,파김치,18,재료,해조류,,,,,,
48,연어,18,재료,해산물,,,,,,
49,팽이버섯,17,재료,버섯류,,,,,,
50,아몬드,17,재료,곡류/견과류/씨앗류,,,,,,
51,미역국,16,재료,해조류,,,,,,
52,쌀뜨물,14,재료,곡류/견과류/씨앗류,,,,,,
53,닭볶음탕,14,재료,육류,,,,,,
54,닭다리,14,재료,육류,,,,,,
55,계란찜,14,재료,달걀/난류,,,,,,
56,순두부,13,재료,두류,,,,,,
57,돼지갈비,13,재료,육류,,,,,,
58,된장국,12,재료,양념/조미료,,,,,,
59,쌀가루,12,재료,곡류/견과류/씨앗류,,,,,,
60,고추기름,12,재료,야채/채소,,,,,,
61,찹쌀,11,재료,곡류/견과류/씨앗류,,,,,,
62,베이컨,11,재료,가공육,,,,,,
63,초고추장,10,재료,양념/조미료,,,,,,
64,찹쌀가루,10,재료,곡류/견과류/씨앗류,,,,,,
65,계란말이,10,재료,달걀/난류,,,,,,
66,오리,10,재료,육류,,,,,,
67,배추김치,10,재료,야채/채소,,,,,,
68,느타리버섯,10,재료,버섯류,,,,,,
69,맵쌀,10,재료,곡류/견과류/씨앗류,,,,,,
70,감자전,9,재료,야채/채소,,,,,,
71,두부조림,9,요리이름,,,,ㅇ,,,
72,김치전,7,요리이름,,,,ㅇ,,,
73,오징어채,7,재료,해산물,,,,,,
74,된장찌개,7,요리이름,,,,ㅇ,,,
75,소금물,6,재료,양념/조미료,,,,,,
76,닭고기,6,재료,육류,,,,,,
77,무김치,6,재료,해조류,,,,,,
78,닭갈비,6,재료,육류,,,,,,
79,마늘빵,6,재료,야채/채소,,,,,,
80,크림치즈,5,재료,유제품,,,,,,
81,오리지널,5,재료,육류,,,,,,
82,콩가루,5,재료,두류,,,,,,
83,호두,5,재료,곡류/견과류/씨앗류,,,,,,
84,닭개장,4,요리이름,,,,ㅇ,,,
85,두부김치,4,요리이름,,,,ㅇ,,,
86,안동찜닭,4,요리이름,,,,ㅇ,,,
87,콩나물국,4,요리이름,,,,ㅇ,,,
88,현미밥,3,재료,곡류/견과류/씨앗류,,,,,,
89,열무김치,3,재료,해조류,,,,,,
90,고추냉이,3,재료,야채/채소,,,,,,
91,햄버거,3,요리이름,,,,ㅇ,,,
92,닭꼬치,3,요리이름,,,,ㅇ,,,
93,순두부찌개,2,요리이름,,,,ㅇ,,,
94,현미,2,재료,곡류/견과류/씨앗류,,,,,,
95,김치찌개,2,요리이름,,,,ㅇ,,,
96,흰쌀,2,재료,곡류/견과류/씨앗류,,,,,,
97,파마산 치즈,2,재료,유제품,,,,,,
98,왕새우,2,재료,해산물,,,,,,
99,오리고기,2,재료,육류,,,,,,
100,김치볶음밥,2,요리이름,,,,ㅇ,,,
101,충무김밥,2,요리이름,,,,ㅇ,,,
102,딸기우유,2,재료,유제품,,,,,,
103,콩기름,1,재료,두류,,,,,,
104,마파두부,1,요리이름,,,,ㅇ,,,
105,쌀국수,1,요리이름,,,,ㅇ,,,
106,쌀밥,1,재료,곡류/견과류/씨앗류,,,,,,
107,숟갈,256,단위,,,,,,,
108,통깨,177,미정,미정,,,,,,
109,인분,159,단위,,,,,,,
110,부분,155,미정,미정,,,,,,
111,김칫국,1,재료,해조류,,,,,,
112,올리브,113,미정,미정,,,,,,
113,올리브오일,111,미정,미정,,,,,,
114,크기,102,미정,미정,,,,,,
115,고기,93,미정,미정,,,,,,
116,분량,89,단위,,,,,,,
117,나물,88,미정,미정,,,,,,
118,종이컵,70,단위,,,,,,,
119,야채,61,미정,미정,,,,,,
120,샐러드,52,요리이름,,,,ㅇ,,,
121,장아찌,50,요리이름,,,,ㅇ,,,
122,불고기,50,요리이름,,,,ㅇ,,,
123,마리,50,단위,,,,,,,
124,다이어트,46,미정,미정,,,,ㅇ,,
125,봉지,44,단위,,,,,,,
126,사이즈,44,단위,,,,,,,
127,스팸,42,미정,미정,,,,,,
128,공기,41,단위,,,,,,,
129,미림,40,미정,미정,,,,,,
130,계량컵,38,단위,,,,,,,
131,리터,37,단위,,,,,,,
132,약간,37,단위,,,,,,,
133,감칠맛,36,미정,미정,,,,,ㅇ,
134,건강,35,미정,미정,,,,ㅇ,,
135,적당량,34,단위,,,,,,,
136,아이들,34,미정,미정,,,,,,ㅇ
137,풍미,33,미정,미정,,,,,ㅇ,
138,단위,31,단위,,,,,,,
139,소면,31,미정,미정,,,,,,
140,아이,30,미정,미정,,,,,,ㅇ
141,감자탕,1,요리이름,,,,ㅇ,,,
142,아삭,29,미정,미정,,,,,ㅇ,
143,황태,28,미정,미정,,,,,,
144,단맛,27,미정,미정,,,,,ㅇ,
145,새우깡,1,재료,해산물,,,,,,
146,매콤,27,미정,미정,,,,,ㅇ,
147,아침,26,미정,미정,,,,,,ㅇ
148,파스타,26,요리이름,,,,ㅇ,,,
149,케첩,25,미정,미정,,,,,,
150,꽃게,25,미정,미정,,,,,,
151,조금,24,단위,,,,,,,
152,어른,24,미정,미정,,,,,,ㅇ
153,두께,24,단위,,,,,,,
154,떡볶이,22,요리이름,,,,ㅇ,,,
155,용기,22,단위,,,,,,,
156,그릇,22,단위,,,,,,,
157,조각,22,단위,,,,,,,
158,내장,22,미정,미정,,,,,,
159,소세지,21,미정,미정,,,,,,
160,ML,21,단위,,,,,,,
161,골뱅이,21,미정,미정,,,,,,
162,천일염,20,미정,미정,,,,,,
163,머스터드,20,미정,미정,,,,,,
164,비엔나,20,미정,미정,,,,,,
165,홍게,20,미정,미정,,,,,,
166,덮밥,19,요리이름,,,,ㅇ,,,
167,피로,19,미정,미정,,,,ㅇ,,
168,총각김치,1,재료,해조류,,,,,,
169,남편,17,미정,미정,,,,,,ㅇ
170,가족,17,미정,미정,,,,,,ㅇ
171,스테이크,17,미정,미정,,,,,,
172,파닭,1,재료,육류,,,,,,
173,닭목,1,재료,육류,,,,,,
174,반개,17,단위,,,,,,,
175,나머지,16,단위,,,,,,,
176,새송이,16,미정,미정,,,,,,
177,수육,16,요리이름,,,,ㅇ,,,
178,그릭 요거트,16,미정,미정,,,,,,
