,keyword,count,대분류,중분류,삭제해야하는것,애매한것,요리이름,"효능/영양분/요리스타일(키토, 지중해 등)",맛/식감,대상/시간
520,후춧가루,87,미정,미정,,,,,,
521,올리브오일,72,미정,미정,,,,,,
522,참치액,72,미정,미정,,,,,,
523,난이도하,36,미정,미정,,,,,,ㅇ
524,부드러운,32,미정,미정,,,,,ㅇ,
525,크래미,23,미정,미정,,,,,,
526,엄나무순,20,미정,미정,,,,,,
527,오이,20,미정,미정,,,,,,
528,참두릅,20,미정,미정,,,,,,
529,초간단,19,미정,미정,,,,,,ㅇ
530,케찹,13,미정,미정,,,,,,
531,다진생강,13,미정,미정,,,,,,
532,통후추,13,미정,미정,,,,,,
533,개두릅,12,미정,미정,,,,,,
534,참치캔,12,미정,미정,,,,,,
535,캔참치,12,미정,미정,,,,,,
536,코인육수,12,미정,미정,,,,,,
537,대패삼겹살,12,미정,미정,,,,,,
538,황태채,12,미정,미정,,,,,,
539,갈아만든배,11,미정,미정,,,,,,
540,쪽파,11,미정,미정,,,,,,
541,엑스트라버진,11,미정,미정,,,,,,
542,부추,11,미정,미정,,,,,,
543,홀그레인,10,미정,미정,,,,,,
544,올리고당,10,미정,미정,,,,,,
545,홀그레인머스타드,10,미정,미정,,,,,,
546,달달,10,미정,미정,,,,,ㅇ,
547,토마토,10,미정,미정,,,,,,
548,청상추,9,미정,미정,,,,,,
549,비빔면,9,미정,미정,,,ㅇ,,,
550,바삭,9,미정,미정,,,,,ㅇ,
551,제육볶음,9,미정,미정,,,ㅇ,,,
552,고소,8,미정,미정,,,,,ㅇ,
553,베이킹소다,8,미정,미정,,,,,,
554,쯔유,8,미정,미정,,,,,,
555,사각어묵,8,미정,미정,,,,,,
556,촉촉한,8,미정,미정,,,,,ㅇ,
557,치킨스톡,8,미정,미정,,,,,,
558,견과류,8,미정,미정,,,,,,
559,오이무침,7,미정,미정,,,ㅇ,,,
560,심플한,7,미정,미정,,,,,,ㅇ
561,땅두릅,7,미정,미정,,,,,,
562,시금치,7,미정,미정,,,,,,
563,쫄깃한,7,미정,미정,,,,,ㅇ,
564,반찬통,7,미정,미정,,,,,,ㅇ
565,새콤달콤,7,미정,미정,,,,,ㅇ,
