index,ingredient_name,traits,tags,substitutes,substitutes2,대분류,중분류,synonyms,속성수,언급량
3,붉은대게,"감칠맛, 단맛, 탱글함, 저지방, 해산물육수","고단백, 저지방, 보양, 다이어터","꽃게, 대게, 킹크랩",,재료,해산물,,0,
7,녹두 국수,"쫄깃함, 전분질, 건조면, 담백함","저지방, 글루텐프리, 다이어트","현미면, 메밀국수, 콩국수면",,재료,면류/밀가루류,,0,
10,올스파이스,"감초향, 따뜻한향신, 미세분말, 발색력","항산화, 소화, 면역력","계피, 정향, 넛맥",,재료,양념/조미료,,0,
12,올보리,"전분질, 고소함, 건조곡물, 부드러움","고식이섬유, 저지방, 건강","현미, 통보리, 귀리",,재료,곡류/견과류/씨앗류,,0,
13,누에,"단백질, 건조성, 특수식감, 불쾌향","고단백, 보양, 약재","누에가루, 한약재, 동충하초",,재료,기타생식재료,,0,
16,기러기알,"부드러움, 진한풍미, 고지방, 고단백","고단백, 고지방, 보양","오리알, 달걀, 메추리알",,재료,달걀/난류,,0,
18,아티초크,"쓴맛, 식이섬유질, 부드러움, 촉촉함","항산화, 장건강, 다이어트","브로콜리줄기, 셀러리, 해바라기심",,재료,야채/채소,,0,
19,비름나물가공품,"부드러움, 향긋함, 데침가능, 수분多","항산화, 장건강, 다이어트","시금치, 참나물, 열무나물",,재료,야채/채소,,0,
21,양송이버섯,"부드러움, 감칠맛, 수분多, 담백함","비건, 저칼로리, 다이어트","새송이버섯, 표고버섯, 느타리버섯",,재료,버섯류,,0,
23,삼겹,"기름짐, 고소함, 바삭함, 풍미강함","고지방, 고단백, 보양","목살, 항정살, 오겹살",,재료,육류,,0,
25,밤묵,"쫀득함, 고소함, 식물성응고, 수분多","저칼로리, 비건, 다이어트","도토리묵, 콩묵, 해초묵",,재료,기타생식재료,,0,
27,카레 소스,"매콤함, 농축, 향신료, 페이스트","항산화, 소화, 건강","커리페이스트, 데미글라스, 하이라이스소스",,재료,소스류,,0,
28,목살,"부드러움, 풍미강함, 지방적당, 굽기적합","고단백, 보양","삼겹살, 항정살, 돼지앞다리살",,재료,육류,,0,
32,살코기,"부드러움, 담백함, 지방적음, 촉촉함","고단백, 저지방, 다이어트","닭가슴살, 쇠고기 우둔살, 돼지안심",,재료,육류,,0,
33,참김,"짭짤함, 바삭함, 바다향, 건조성","비건, 미네랄, 저칼로리","돌김, 재래김, 구운김",,재료,야채/채소,,0,
34,검정깨,"고소함, 고지방, 씨앗류, 바삭함","항산화, 건강, 비건","흑임자, 아마씨, 들깨",,재료,곡류/견과류/씨앗류,,0,
36,취나물가공품,"향긋함, 부드러움, 데침식감, 수분多","비건, 저칼로리, 항산화","곰취, 방풍나물, 고사리",,재료,야채/채소,,0,
37,민허리돼지고둥,"쫄깃함, 짭짤함, 해산물, 풍미강함","고단백, 저지방, 보양","다슬기, 고둥, 골뱅이",,재료,해산물,,0,
38,물레고둥,"쫄깃함, 해산물 풍미, 담백함, 육질","고단백, 저지방, 보양","골뱅이, 참고둥, 다슬기",,재료,해산물,,0,
41,레몬주스,"산미, 액체, 과즙, 발색력","비타민C, 항산화, 소화, 디톡스","라임즙, 유자즙, 식초",,재료,소스류,,0,
42,굴 소스,"감칠맛, 점성, 어류농축, 페이스트","비건아님, 소화, 풍미강화","표고소스, 데리야끼소스, 해물간장",,재료,소스류,,0,
43,도다리,"담백함, 부드러움, 얇은살결, 저지방","고단백, 저지방, 다이어트, 보양","광어, 놀래미, 민어",,재료,해산물,,0,
44,콩고기,"쫄깃함, 식물성단백, 가공식감, 고단백","비건, 고단백, 저지방","두부, 템페, 밀단백",,재료,두류,대체육,1,
45,뽕나무버섯,"쫄깃함, 담백함, 섬유조직, 저칼로리","비건, 다이어트, 장건강","목이버섯, 느타리버섯, 팽이버섯",,재료,버섯류,,0,
47,한라봉주스,"산미, 과즙, 단맛, 액체","비타민C, 항산화, 건강","오렌지주스, 유자청, 자몽주스",,재료,기타생식재료,,0,
52,쵸핑햄,"짭짤함, 부드러움, 유화, 고단백","가공육, 고단백, 고지방","런천미트, 소시지, 베이컨",,재료,가공육,,0,
56,콩고기너겟,"쫄깃함, 튀김코팅, 식물성단백, 풍미유지","비건, 고단백, 다이어트","두부너겟, 템페너겟, 밀고기",,재료,가공육,,0,
57,과립형육수,"감칠맛, 건조, 분말형, 농축","소화, 건강","분말다시다, 치킨스톡, 가쓰오분말",,재료,양념/조미료,,0,
60,석이버섯,"쫄깃함, 얇은조직, 건조성, 향긋함","비건, 저칼로리, 장건강","목이버섯, 표고버섯, 느타리버섯",,재료,버섯류,,0,
62,울금,"쌉쌀함, 가루, 발색력, 향신료","항염, 소화, 디톡스","강황, 생강가루, 커리파우더",,재료,기타생식재료,,0,
64,식용유,"무맛, 액체, 고열안정성, 유화",고열량,"카놀라유, 해바라기유, 포도씨유",,재료,양념/조미료,식물성 기름,1,
65,크릴,"감칠맛, 해산물풍미, 분말형, 저지방","항산화, 콜레스테롤, 건강","멸치분말, 새우분말, 해물다시",,재료,해산물,,0,
66,보리고추장,"짠맛, 고소함, 페이스트, 발효","저염, 장건강","된장, 쌈장, 청국장",,재료,양념/조미료,,0,
67,선지 비율 높은것,"부드러움, 응고성, 철분풍미, 진한색","고단백, 보양, 철분","선지, 혈전, 피순대",,재료,육류,,0,
68,누루시볼락,"담백함, 부드러움, 흰살생선, 수분多","고단백, 저지방","우럭, 농어, 도미",,재료,해산물,,0,
70,도루묵,"쫄깃함, 알 풍부, 담백함, 해산물","고단백, 저지방","임연수, 명태, 청어",,재료,해산물,,0,
72,천일염,"짠맛, 결정형, 미네랄함유, 농축","저염, 미네랄","소금, 저염소금, 자염",,재료,양념/조미료,,0,
75,삼겹살,"기름짐, 바삭함, 풍미강함, 구이적합","고단백, 고지방, 보양","목살, 항정살, 오겹살",,재료,육류,돼지 비계살,1,
76,페이스트,"점성, 농축, 반죽형, 응집성","유화, 풍미유지","고추장, 타히니, 된장",,재료,소스류,,0,
84,면실유,"무맛, 액체, 고열안정성, 유화",고열량,"콩기름, 해바라기유, 포도씨유",,재료,양념/조미료,,0,
86,건목이버섯,"쫄깃함, 건조성, 수분흡수성, 담백함","비건, 저칼로리, 장건강","석이버섯, 팽이버섯, 느타리버섯",,재료,버섯류,,0,
88,구갈돔,"탄탄한살결, 담백함, 해산물풍미, 고소함","고단백, 보양","돔, 광어, 우럭",,재료,해산물,,0,
92,무말랭이,"건조성, 아삭함, 담백함, 섬유질","고식이섬유, 장건강","건당근채, 무채, 무피클",,재료,야채/채소,,0,
94,옥수수기름,"고소함, 액체, 고열안정성, 유화",고열량,"카놀라유, 포도씨유, 해바라기유",,재료,양념/조미료,,0,
95,함흥냉면/건면,"쫄깃함, 건조면, 전분질, 탄력있음","저지방, 다이어트","메밀면, 밀면, 곤약면",,재료,면류/밀가루류,,0,
96,삼채,"매운맛, 향긋함, 뿌리채소, 섬유질","소화, 디톡스, 건강","마늘, 생강, 더덕",,재료,야채/채소,,0,
99,돌미나리,"향긋함, 아삭함, 수분多, 부드러움","비건, 저칼로리, 장건강","미나리, 방풍나물, 참나물",,재료,야채/채소,,0,
100,돌나물,"새콤함, 수분多, 아삭함, 연한잎","비건, 장건강, 다이어트","새싹채소, 부추, 냉이",,재료,야채/채소,,0,
134,가다랑어,"감칠맛, 진한풍미, 해산물향, 건조성","고단백, 건강","가쓰오부시, 멸치, 황태포",,재료,해산물,,0,
136,갈색 거저리,"고소함, 바삭함, 곤충분말, 단백질함량높음","고단백, 대체단백, 다이어트","밀웜, 귀뚜라미가루, 누에",,재료,기타생식재료,,0,
137,갈파래,"짭짤함, 해조류향, 얇은조직, 건조성","비건, 저칼로리, 미네랄","김, 파래, 다시마",,재료,야채/채소,,0,
138,두충차,"쌉쌀함, 구수함, 건조잎, 따뜻한성질","항산화, 혈액순환, 디톡스","우엉차, 헛개차, 결명자차",,재료,기타생식재료,,0,
145,내장,"진한풍미, 부드러움, 점성, 철분함유","고단백, 보양, 피로","간, 곱창, 염통",,재료,육류,,0,
148,노랑벤자리,"부드러움, 흰살생선, 담백함, 풍미유지","고단백, 보양, 저지방","돔, 농어, 광어",,재료,해산물,,0,
149,능성어,"탄탄함, 고소함, 고급어종, 해산물풍미","고단백, 보양, 건강","돔, 대구, 우럭",,재료,해산물,,0,
150,달고기,"부드러움, 해산물, 수분多, 담백함","고단백, 저지방, 보양","가자미, 넙치, 도미",,재료,해산물,,0,
151,닭 육수,"감칠맛, 액체, 농축, 풍미 유지력","고단백, 보양, 장건강","멸치 육수, 다시마 육수, 소고기 육수",,재료,육류,,0,
152,닭뼈 육수,"감칠맛, 액체, 진한 맛, 풍미 유지력","보양, 면역력, 장건강","닭 육수, 사골 육수, 뼈해장국 국물",,재료,육류,,0,
153,담치,"감칠맛, 부드러움, 탱글함, 해산물향","고단백, 면역력, 보양","홍합, 바지락, 가리비",,재료,해산물,,0,
154,대추차,"단맛, 액체, 농축, 향긋함","항산화, 피로, 보양, 혈액순환","생강차, 유자차, 꿀물",,재료,기타생식재료,,0,
155,독돔,"감칠맛, 부드러움, 흰살 생선, 담백함","고단백, 저지방, 보양","도미, 감성돔, 능성어",,재료,해산물,,0,
157,두리안,"단맛, 부드러움, 끈적임, 진한 풍미","에너지, 소화","망고, 바나나, 아보카도",,재료,과일,,0,
158,둑중개,"감칠맛, 부드러움, 담백함, 하얀살","고단백, 보양, 저지방","숭어, 도다리, 쏘가리",,재료,해산물,,0,
159,둥근마,"전분질, 끈적임, 부드러움, 뿌리채소","장건강, 면역력, 건강식","마, 참마, 연근",,재료,야채/채소,,0,
160,들깨,"고소함, 가루, 점성, 유분감","항산화, 면역력, 콜레스테롤","참깨, 아마씨, 호두",,재료,곡류/견과류/씨앗류,,0,
162,모듬과일,"단맛, 과즙 많음, 다양함, 상큼함","비건, 항산화, 건강, 면역력","믹스베리, 과일슬라이스, 샐러드과일",,재료,과일,,0,
164,무청,"수분보유력, 부드러움, 줄기채소","고식이섬유, 디톡스, 장건강","열무, 얼갈이, 시래기",,재료,야채/채소,,0,
165,문치가자미,"담백함, 부드러움, 감칠맛, 저지방","고단백, 저지방, 보양식","가자미, 도미, 도다리",,재료,해산물,,0,
166,물치다래,"단맛, 과즙 많음, 부드러움, 열매류","항산화, 면역력, 장건강","키위, 다래, 아로니아",,재료,과일,,0,
167,박쥐나무,"쓴맛, 약재향, 조림재료","한방, 약재, 건강","황기, 오가피, 헛개나무",,재료,기타생식재료,,0,
169,봄동,"부드러움, 수분감, 신선함, 잎채소","저칼로리, 비건, 소화, 건강","양배추, 상추, 배추잎",,재료,야채/채소,,0,
170,부치,"감칠맛, 단단함, 흰살 생선, 탱글함","고단백, 보양, 저지방","방어, 병어, 참돔",,재료,해산물,,0,
171,사탕무,"단맛, 뿌리채소, 수분감, 발색력","항산화, 디톡스, 혈액순환, 건강","비트, 당근, 무",,재료,야채/채소,,0,
172,석묵,"응고성, 젤형태, 담백함, 저탄수","저칼로리, 글루텐프리, 디톡스","도토리묵, 청포묵, 밤묵",,재료,기타생식재료,,0,
173,수세미,"부드러움, 수분감, 채소과, 연함","디톡스, 장건강, 면역력","오이, 애호박, 여주",,재료,야채/채소,,0,
174,수액,"약한 단맛, 액체, 천연 추출","면역력, 디톡스, 한방","자작나무수액, 대나무수액, 아로니아즙",,재료,기타생식재료,,0,
175,술봉가자미,"담백함, 탱글함, 감칠맛, 저지방","고단백, 보양식, 건강","문치가자미, 도다리, 노랑가자미",,재료,해산물,,0,
176,스리라차 소스,"매운맛, 액체, 발효성, 진한 향미","비건, 저칼로리, 소화","고추장, 칠리소스, 핫소스",,재료,소스류,,0,
178,실파,"부드러움, 향긋함, 수분 많음, 잎채소","비건, 저칼로리, 소화","쪽파, 대파, 부추",,재료,야채/채소,,0,
182,양념닭 소스,"짠맛, 매운맛, 농축, 유화","풍미강화, 다이어터, 소화","닭강정소스, 데리야끼소스, 고추장 양념",,재료,소스류,,0,
185,열쌍동가리,"담백함, 부드러움, 흰살 생선","고단백, 저지방, 보양식","도미, 쏘가리, 감성돔",,재료,해산물,,0,
186,우엉채,"쫄깃함, 식이섬유 질감, 뿌리채소","고식이섬유, 장건강, 디톡스","우엉, 연근채, 마채",,재료,야채/채소,,0,
187,원당,"단맛, 결정형, 정제당 아님","비정제원당, 저당, 건강","흑설탕, 메이플시럽, 알룰로스",,재료,양념/조미료,,0,
189,유채씨기름,"액체, 고소함, 고온안정성","비건, 저지방, 건강","카놀라유, 들기름, 포도씨유",,재료,양념/조미료,,0,
190,잎상추,"부드러움, 수분감, 생식가능, 잎채소","비건, 저칼로리, 장건강","로메인, 치커리, 케일",,재료,야채/채소,,0,
191,저지방우유,"부드러움, 액체, 유제품향","저지방, 고단백, 건강","두유, 아몬드우유, 귀리우유",,재료,유제품,,0,
192,정향,"쌉쌀함, 향긋함, 건조, 가루","항산화, 소화, 약재","계피, 팔각, 후추",,재료,기타생식재료,,0,
193,참갑오징어,"쫄깃함, 감칠맛, 해산물향, 탱글함","고단백, 저지방","한치, 오징어, 낙지",,재료,해산물,,0,
196,췌장,"부드러움, 풍미 진함, 덩어리, 고기내장","고단백, 보양","간, 허파, 염통",,재료,육류,,0,
200,칼국수면,"쫄깃함, 전분질, 덩어리, 밀가루질감","탄수화물, 건강","중화면, 우동면, 생면",,재료,면류/밀가루류,,0,
201,코코넛 아미노,"짠맛, 액체, 발효성, 감칠맛","저염, 글루텐프리, 비건","저염간장, 타마리 간장, 데리야끼 소스",,재료,소스류,코코넛간장,1,
204,큰가리비,"탱글함, 감칠맛, 부드러움, 해산물향","고단백, 보양","가리비, 키조개, 관자",,재료,해산물,,0,
205,탄금추,"단맛, 새콤함, 과즙, 향긋함","항산화, 피로, 건강","체리, 자두, 오미자",,재료,해산물,,0,
209,팥빙수용 단팥,"단맛, 끈적임, 페이스트, 농축","비건, 에너지","앙금, 삶은팥, 팥소",,재료,두류,,0,
210,평삼치,"감칠맛, 기름짐, 부드러움, 은백색살","고단백, 오메가3, 건강","고등어, 방어, 삼치",,재료,해산물,,0,
212,할라페뇨,"매운맛, 아삭함, 발색력, 고소함","항염, 다이어트","청양고추, 피클고추, 고추",,재료,야채/채소,,0,
213,해삼,"탱글함, 해산물향, 부드러움, 저칼로리","보양, 콜라겐, 장건강","전복, 해파리, 미더덕",,재료,해산물,,0,
216,코코아,"쌉쌀함, 가루, 농축, 풍미 유지력","항산화, 기분개선, 피로","카카오파우더, 다크초콜릿, 캐롭파우더",,재료,곡류/견과류/씨앗류,,0,
219,간장,"짠맛, 액체, 발효성, 농축","저염, 건강","진간장, 국간장, 타마리간장",,재료,양념/조미료,진간장 (양조간장),1,
220,국산도토리묵,"부드러움, 응고성, 묵질감, 담백함","저칼로리, 글루텐프리, 디톡스","청포묵, 밤묵, 석묵",,재료,곡류/견과류/씨앗류,,0,
221,도화양태,"부드러움, 감칠맛, 흰살 생선, 탱글함","고단백, 저지방, 보양","양태, 가자미, 도미",,재료,해산물,,0,
222,드렁허리,"탱글함, 감칠맛, 담백함, 뼈 있음","보양, 근육, 건강","메기, 붕어, 미꾸라지",,재료,해산물,,0,
223,삼잎국화,"쓴맛, 향긋함, 잎채소, 신선함","항산화, 소화, 디톡스","쑥갓, 국화잎, 깻잎",,재료,기타생식재료,,0,
224,신자미,"담백함, 흰살 생선, 감칠맛, 탱글함","고단백, 보양","가자미, 도미, 조기",,재료,해산물,,0,
225,오리엔탈드레싱,"짠맛, 산미, 액체, 유화","저지방, 건강","발사믹소스, 레몬드레싱, 유자소스",,재료,소스류,,0,
228,크림치즈,"부드러움, 유화, 고소함, 농축","고지방, 고단백, 건강","리코타치즈, 마스카포네, 버터",,재료,유제품,,0,
229,흰백목이,"부드러움, 수분감, 담백함, 버섯향","저칼로리, 면역력, 항산화","목이버섯, 백만송이버섯, 느타리버섯",,재료,해산물,,0,
233,건파래,"짠맛, 건조, 향긋함, 해조류향","미네랄, 장건강, 저칼로리","김, 다시마, 청각",,재료,해산물,,0,
234,석류,"단맛, 새콤함, 과즙, 발색력","항산화, 여성건강, 피부","체리, 오렌지, 블루베리",,재료,과일,,0,
235,쌍별귀뚜라미,"고소함, 바삭함, 건조, 단백질질감","고단백, 면역력, 건강","메뚜기, 밀웜, 고단백 곤충",,재료,기타생식재료,,0,
236,가래상어,"감칠맛, 기름짐, 흰살생선, 부드러움","보양, 고단백","상어, 삼치, 청새치",,재료,해산물,,0,
237,단풍나무,"약재향, 수액 추출, 향긋함, 약간 쌉쌀함","한방, 약재, 피로","자작나무수액, 박쥐나무, 황기",,재료,기타생식재료,,0,
240,검은깨두부,"부드러움, 고소함, 묵질감, 콩향","고단백, 항산화, 건강","두부, 흑임자묵, 아마씨두부",,재료,두류,,0,
242,달팽이,"탱글함, 감칠맛, 연체질감, 담백함","저지방, 보양, 콜라겐","전복, 문어, 낙지",,재료,해산물,,0,
245,깐풍기소스,"짠맛, 매운맛, 유화, 점성","소화, 풍미강화","마늘간장소스, 고추기름소스, 데리야끼",,재료,소스류,,0,
246,민트,"상쾌함, 향긋함, 허브향, 쌉쌀함","소화, 항염, 디톡스","박하, 바질, 페퍼민트",,재료,기타생식재료,,0,
249,토란,"부드러움, 끈적임, 뿌리채소, 수분多","저칼로리, 장건강, 디톡스","연근, 감자, 마",,재료,야채/채소,,0,
254,어린양고기,"부드러움, 풍미강함, 육즙, 구이적합","고단백, 보양, 철분","소고기 안심, 송아지고기, 오리다리살",,재료,육류,,0,
263,떡,"쫄깃함, 전분질, 끈적임, 응고성","고탄수, 에너지","찹쌀떡, 경단, 백설기",,재료,면류/밀가루류,,0,
264,로제스파게티소스,"크리미함, 페이스트, 매콤함, 유화","고지방, 풍미강화","토마토크림소스, 핑크소스, 고추장크림소스",,재료,소스류,,0,
