index,대분류,중분류,키워드,동의어
1,요리효능,다이어트/체중조절/식이조절,저지방,
2,요리효능,다이어트/체중조절/식이조절,저칼로리,
3,요리효능,다이어트/체중조절/식이조절,저당,
4,요리효능,다이어트/체중조절/식이조절,무설탕,제로슈가
5,요리효능,다이어트/체중조절/식이조절,무염,
6,요리효능,다이어트/체중조절/식이조절,고단백,
7,요리효능,다이어트/체중조절/식이조절,다이어트,
8,요리효능,다이어트/체중조절/식이조절,포만감,
9,요리효능,다이어트/체중조절/식이조절,칼로리,
10,요리효능,다이어트/체중조절/식이조절,콜레스테롤,
11,요리효능,다이어트/체중조절/식이조절,저염,
12,요리효능,다이어트/체중조절/식이조절,무가당,
13,요리효능,소화/배변/영양흡수,소화,
14,요리효능,소화/배변/영양흡수,변비,
15,요리효능,소화/배변/영양흡수,식이섬유,
16,요리효능,노화/피부/세포관련,노화,
17,요리효능,노화/피부/세포관련,저속노화,
18,요리효능,노화/피부/세포관련,주름개선,
19,요리효능,노화/피부/세포관련,항산화,
20,요리효능,노화/피부/세포관련,세포벽,
21,요리효능,면역/활력/에너지 회복,면역력,
22,요리효능,면역/활력/에너지 회복,에너지,
23,요리효능,면역/활력/에너지 회복,신진대사,
24,요리효능,면역/활력/에너지 회복,컨디션,
25,요리효능,면역/활력/에너지 회복,피로,
26,요리효능,해독/순환/디톡스,디톡스,
27,요리효능,해독/순환/디톡스,숙취해소,
28,요리효능,해독/순환/디톡스,혈액순환,
29,요리효능,해독/순환/디톡스,독소,
30,요리효능,질환/염증/호흡기,염증완화,
31,요리효능,질환/염증/호흡기,질환,
32,요리효능,질환/염증/호흡기,기관지,
33,요리효능,질환/염증/호흡기,호흡기,
34,요리효능,질환/염증/호흡기,세균,
35,요리효능,성분독성/영양제어,단백질,
36,요리효능,성분독성/영양제어,글루텐,
37,요리효능,성분독성/영양제어,무설탕,
38,요리효능,성분독성/영양제어,비정제원당,
39,요리효능,건강식/한방/보양식,건강,
40,요리효능,건강식/한방/보양식,보양,
41,요리효능,건강식/한방/보양식,약재,
42,요리효능,건강식/한방/보양식,한방,
43,요리효능,식이제한/특수식단,채식,
44,요리효능,식이제한/특수식단,당뇨,
45,요리효능,식이제한/특수식단,글루텐,
46,요리효능,수면/신경안정,불면증,
47,요리영양분,요리영양분,단백질,
48,요리영양분,요리영양분,아미노산,
49,요리영양분,요리영양분,오메가,
50,요리영양분,요리영양분,타우린,
51,요리영양분,요리영양분,카페인,
52,요리영양분,요리영양분,비타민,
53,요리영양분,요리영양분,비타민C,
54,요리영양분,요리영양분,비타민B,
55,요리영양분,요리영양분,비타민D,
56,요리영양분,요리영양분,미네랄,
57,요리영양분,요리영양분,무기질,
58,요리영양분,요리영양분,칼슘,
59,요리영양분,요리영양분,칼륨,
60,요리영양분,요리영양분,아연,
61,요리영양분,요리영양분,식이섬유,
62,요리영양분,요리영양분,그래놀라,
63,요리영양분,요리영양분,탄수화물,
64,식사대상,식사대상,부모님,
65,식사대상,식사대상,남편,
66,식사대상,식사대상,와이프,
67,식사대상,식사대상,아이,
68,식사대상,식사대상,가족,
69,식사대상,식사대상,어르신,
70,식사대상,식사대상,직장인,
71,식사대상,식사대상,환자,
72,요리TPO,용도,반찬,
73,요리TPO,용도,술안주,
74,요리TPO,용도,와인,
75,요리TPO,용도,소풍,
76,요리TPO,시간대,주말,
77,요리TPO,시간대,아침,
78,요리TPO,시간대,브런치,
79,요리TPO,시간대,간식,
80,요리TPO,시간대,점심,
81,요리TPO,시간대,저녁,
82,요리TPO,시간대,야식,
83,요리TPO,상황/장소,운동전,
84,요리TPO,상황/장소,운동후,
85,요리TPO,상황/장소,캠핑,
86,요리TPO,상황/장소,명절,
87,요리TPO,상황/장소,생일,
88,요리TPO,상황/장소,추억,
89,요리TPO,상황/장소,소풍,
90,요리TPO,상황/장소,잔칫상,
91,요리TPO,상황/장소,여행,
92,요리TPO,난이도,초간단,
93,요리TPO,난이도,심플한,
94,요리TPO,난이도,난이도하,
95,요리TPO,난이도,초보,
96,요리TPO,난이도,즉석,
97,요리TPO,난이도,귀차니즘,
98,요리TPO,계절/시기,봄,
99,요리TPO,계절/시기,여름,
100,요리TPO,계절/시기,가을,
101,요리TPO,계절/시기,겨울,
102,요리TPO,계절/시기,환절기,
103,요리TPO,계절/시기,초복,
104,요리TPO,계절/시기,중복,
105,요리TPO,계절/시기,말복,
106,요리TPO,계절/시기,동지,
107,요리스타일,요리스타일,이국,
108,요리스타일,요리스타일,프랑스,
109,요리스타일,요리스타일,이탈리안,
110,요리스타일,요리스타일,스페인,
111,요리스타일,요리스타일,멕시코,
112,요리스타일,요리스타일,지중해,
113,요리스타일,요리스타일,중화,
114,요리스타일,요리스타일,베트남,
115,요리스타일,요리스타일,그리스,
116,요리스타일,요리스타일,서양,
117,요리스타일,요리스타일,태국,
118,요리스타일,요리스타일,동남아,
119,요리스타일,요리스타일,일본,
120,요리스타일,요리스타일,전통,
121,요리스타일,요리스타일,강원도,
122,요리스타일,요리스타일,경양식,
123,요리스타일,요리스타일,궁중,
124,요리스타일,요리스타일,경상도,
125,요리스타일,요리스타일,전라도,
126,요리스타일,요리스타일,황해도,
127,요리스타일,요리스타일,키토,
128,요리스타일,요리스타일,가니쉬,
129,요리스타일,요리스타일,오마카세,
