NO.,채널명, 구독자수 ,URL,기록시점,채널특징
1,백종원 PAIK JONG WON,"6,480,000",https://www.youtube.com/@paik_jongwon  ,2025-05-27,
2,매일맛나 delicious day,"5,330,000",https://www.youtube.com/@deliciousday1  ,2025-05-27,디저트
3,식탁일기 table diary,"5,270,000",https://www.youtube.com/channel/UCemFUqq5jad1f258HrPS5rg,2025-05-27,디저트
4,Cooking tree 쿠킹트리,"5,170,000",https://www.youtube.com/channel/UCtby6rJtBGgUm-2oD_E7bzw  ,2025-05-27,베이킹
5,하루한끼 one meal a day,"4,290,000",https://www.youtube.com/@onemealaday888,2026-04-16,
9,이 남자의 cook,"2,500,000",https://www.youtube.com/channel/UCy2WX3w5UyYFHBDHyWFKNUQ,2025-05-27,
10,김대석 셰프TV,"2,370,000",https://www.youtube.com/@ChefKDS,2025-05-27,
11,Boone Bake분베이크,"2,260,000",https://www.youtube.com/@BooneBake,2025-05-27,베이킹
12,뉴욕밥상 New York Cooking Table,"2,150,000",https://www.youtube.com/@newyorkcookingtable2344/videos,2025-05-27,
13,자취요리신 simple cooking,"2,130,000",https://www.youtube.com/@%EC%9E%90%EC%B7%A8%EC%9A%94%EB%A6%AC%EC%8B%A0simplecooking,2025-05-27,
14,해그린달 haegreendal,"2,110,000",https://www.youtube.com/@haegreendal,2025-05-27,
15,요리왕비룡 Korean Food Cooking,"2,080,000",https://www.youtube.com/@dragonrain,2025-05-27,
16,쿠킹씨 Cooking See,"2,070,000",https://www.youtube.com/@CookingSee,2025-05-27,베이킹
18,먹어볼래TryToEat,"1,900,000",https://www.youtube.com/@TryToEat,2025-05-27,
19,무니키친MoonyKitchen,"1,680,000",https://www.youtube.com/@MoonyKitchen,2025-05-27,
20,엄마의손맛,"1,570,000",https://www.youtube.com/@momstaste,2025-05-27,
21,함께해요 맛나요리,"1,560,000",https://www.youtube.com/channel/UCVXx89z5j3gkQMGScNqmWjw,2025-05-27,
22,조꽁드Joconde's baking,"1,560,000",https://www.youtube.com/@Jocondesbaking,2025-05-27,베이킹
25,양장금주부,"1,300,000",https://www.youtube.com/channel/UCKm-cusLT76t3t4s9OgCqcA,2025-05-27,
26,우리의식탁 W TABLE,"1,270,000",https://www.youtube.com/@wtable6077,2025-05-27,
27,하음쿠킹 Haeum Cooking,"1,160,000",https://www.youtube.com/@haeum_cooking,2025-05-27,
29,[윤이련]50년 요리비결,"1,090,000",https://www.youtube.com/@50food,2025-05-27,
30,메리니즈부엌Meliniskitchen,"1,090,000",https://www.youtube.com/channel/UCB4JlWU3Vcev5pkyIdeBMRw,2025-05-27,
32,JUNTV,"1,020,000",https://www.youtube.com/@JUNTV9/videos,2025-05-27,
33,딸을 위한 레시피 Recipes for daughters,"970,000",https://www.youtube.com/@%EB%94%B8%EC%9D%84%EC%9C%84%ED%95%9C%EB%A0%88%EC%8B%9C%ED%94%BC,2025-05-27,
34,쿡피아 Cookpia,"958,000",https://www.youtube.com/channel/UCyn7aoxdLNDZG2ZXXLoVCNQ,2025-05-27,
35,영자씨의 부엌Young-Ja's Kitchen,"931,000",https://www.youtube.com/channel/UC2gasvQVxOdRht9ykwhxwjw,2025-05-27,
36,이연복의 복주머니,"896,000",https://www.youtube.com/@leeyeonbok,2025-05-27,
37,J. Dessert 제이디저트,"876,000",https://www.youtube.com/@J.Dessert,2025-05-27,디저트
38,서담 seodam,"864,000",https://www.youtube.com/@seodam,2025-05-27,디저트
39,Cooking Kun,"851,000",https://www.youtube.com/@CookingKun,2025-05-27,디저트
40,J'adore자도르,"776,000",https://www.youtube.com/@JadoreRecipe,2025-05-27,디저트
42,심방골주부 Korean Food Recipes,"752,000",https://www.youtube.com/c/%EC%8B%AC%EB%B0%A9%EA%B3%A8%EC%A3%BC%EB%B6%80,2025-05-27,
43,Mrs macarons마카롱여사,"751,000",https://www.youtube.com/@mrs_macarons,2025-05-27,
44,소소황 Cook & Eat,"749,000",https://www.youtube.com/@sosocook,2025-05-27,
45,밥상차려주는남자,"744,000",https://www.youtube.com/@babchanam1,2025-05-27,
46,살림팝,"728,000",https://www.youtube.com/@%EC%82%B4%EB%A6%BC%ED%8C%9D,2025-05-27,
47,뚝딱Tooktak,"722,000",https://www.youtube.com/@Tooktak,2025-05-27,
48,강쉪,"715,000",https://www.youtube.com/channel/UCrxSR4OGbJBVjYxp4xjWgZQ,2025-05-27,
49,우미스베이킹Umi's baking,"670,000",https://www.youtube.com/channel/UC1NLUzgZaBOo050WuQE80eA,2025-05-27,베이킹
50,만개의레시피 10K Recipe,"613,000",https://www.youtube.com/channel/UCKA_6r3CWC76x_EaFO6jsPA,2025-05-27,
51,수리키친Suri,"601,000",https://www.youtube.com/@suri4095,2025-05-27,
52,Joon's Little Table,"577,000",https://www.youtube.com/@JoonsLittleTable,2025-05-27,베이킹
53,캠핑한끼CampingHankki,"575,000",https://www.youtube.com/channel/UCkGr7BCJ8plP-Jhy4kSfP8w,2025-05-27,
54,은수저,"549,000",https://www.youtube.com/channel/UCZi3anHvH7wBatykoVGMVJw,2025-05-27,
55,Calorie restaurant칼로리 식당,"546,000",https://www.youtube.com/channel/UC4485ilDR3hfZe83lvUZYVA,2025-05-27,베이킹
56,후다닥요리,"536,000",https://www.youtube.com/@HoodadakCook,2025-05-27,
57,더스쿱The SCOOP,"527,000",https://www.youtube.com/@scoopdang,2025-05-27,
58,루다 테이블 Luda Table,"507,000",https://www.youtube.com/@LudaTable,2025-05-27,
