ingredient_keyword,coupang_url,priority,active,recipe_count,rank
소금,https://link.coupang.com/a/gSJ6Ltpix2,D,Y,20354,1
간장,https://link.coupang.com/a/gSJ7FilStU,C,Y,17803,2
다진마늘,https://link.coupang.com/a/gSFYCCq4Zg,A,Y,16993,3
대파,https://link.coupang.com/a/gSJ71AInV6,C,Y,14077,4
설탕,https://link.coupang.com/a/dHedi7,D,Y,13917,5
양파,https://link.coupang.com/a/gSJ8qiW0J2,C,Y,13687,6
후추,https://link.coupang.com/a/gSJ8HX0QA8,D,Y,12706,7
참기름,https://link.coupang.com/a/gSJ88YaZLE,C,Y,12305,8
고춧가루,https://link.coupang.com/a/gSJ9FYemCO,C,Y,11802,9
통깨,,D,Y,9911,10
식용유,https://link.coupang.com/a/gSKavcxEOq,C,Y,9091,11
달걀,https://link.coupang.com/a/gSJ9VRt26K,C,Y,8130,12
맛술,https://link.coupang.com/a/gSKa7jpdUy,C,Y,7402,13
청양고추,https://link.coupang.com/a/gSKaPPiE7o,A,Y,7232,14
식초,https://link.coupang.com/a/gSKbotuVvE,D,Y,6305,15
액젓,https://link.coupang.com/a/gSKaduFL3Y,A,Y,6225,16
당근,https://link.coupang.com/a/gSKbC5CZKm,C,Y,5520,17
올리브유,https://link.coupang.com/a/gSKbXEUf7s,A,Y,4929,18
고추장,https://link.coupang.com/a/gSKcseqPsa,C,Y,4657,19
마늘,https://link.coupang.com/a/gSKccT8vgi,C,Y,4285,20
홍고추,https://link.coupang.com/a/gSKcYwJgZg,A,Y,4167,21
알룰로스,https://link.coupang.com/a/gSKcIZCiEm,C,Y,4055,22
오이,https://link.coupang.com/a/gSKdblhdlY,A,Y,3779,23
매실청,https://link.coupang.com/a/gSKdKHqBB6,A,Y,3549,24
들기름,https://link.coupang.com/a/gSKdrVoe9k,A,Y,3527,25
굴소스,https://link.coupang.com/a/gSKdX8V3Qq,A,Y,3326,26
두부,https://link.coupang.com/a/gSKd9WAMPQ,C,Y,2924,27
감자,https://link.coupang.com/a/gSKeoPoIHA,C,Y,2921,28
올리고당,https://link.coupang.com/a/gSKeDSsUxM,D,Y,2899,29
무,https://link.coupang.com/a/gSKe7B93pA,A,Y,2883,30
쪽파,https://link.coupang.com/a/gSKeTrQAAS,A,Y,2818,31
생강,https://link.coupang.com/a/gSKkY3sr4m,A,Y,2756,32
양배추,https://link.coupang.com/a/gSKkHR9NzU,A,Y,2707,33
마요네즈,https://link.coupang.com/a/gSKJOlnjGu,B,Y,2499,34
버터,https://link.coupang.com/a/gSKfk9GlPw,B,Y,2340,35
레몬,https://link.coupang.com/a/gSKKbPKzIq,B,Y,2300,36
참깨,https://link.coupang.com/a/gSJ9qaI7MW,A,Y,2283,37
멸치액젓,,D,Y,2173,38
애호박,https://link.coupang.com/a/gSKKWIYjfw,A,Y,2123,39
된장,https://link.coupang.com/a/gSKKDPNhe0,C,Y,2089,40
물엿,https://link.coupang.com/a/gSK2Dgx5Fs,D,Y,2084,41
표고버섯,https://link.coupang.com/a/gSLc4cVUR2,B,Y,1926,42
우유,https://link.coupang.com/a/gSLdXUDWP6,C,Y,1724,43
부추,https://link.coupang.com/a/gSLecC69GC,B,Y,1606,44
깻잎,https://link.coupang.com/a/gSLepmCMKW,B,Y,1488,45
코인육수,https://link.coupang.com/a/gSLe0OO9SK,C,Y,1455,46
피자치즈,https://link.coupang.com/a/gSLfCNnNPU,C,Y,1407,47
깨소금,https://link.coupang.com/a/gSLfrrDD0S,B,Y,1386,48
파프리카,https://link.coupang.com/a/gSLeOg4ftY,B,Y,1382,49
꿀,https://link.coupang.com/a/gSLeBXXjvE,B,Y,1345,50
상추,https://link.coupang.com/a/gSLgdnRq0q,B,Y,1183,51
다시마,https://link.coupang.com/a/gSLfcPz79g,B,Y,1154,52
머스터드,https://link.coupang.com/a/gSLhz7prIO,D,Y,1088,53
콩나물,https://link.coupang.com/a/gSLgpuEr24,B,Y,1047,54
생강가루,https://link.coupang.com/a/gSLijlACnQ,C,Y,1031,55
토마토,https://link.coupang.com/a/gSKR7ihES4,A,Y,1022,56
소주,https://link.coupang.com/a/gSLhbNEHOS,B,Y,1013,57
어묵,https://link.coupang.com/a/gSLgNa1ve8,B,Y,1008,58
청주,https://link.coupang.com/a/gSLhOgNtrU,C,Y,996,59
부침가루,https://link.coupang.com/a/gSLiYGJOYC,B,Y,968,60
밀가루,https://link.coupang.com/a/gSLg0YNo7w,D,Y,961,61
케첩,https://link.coupang.com/a/gSLhn4gv4S,D,Y,960,62
파,https://link.coupang.com/a/gSM5FGnTbw,A,Y,958,63
식빵,https://link.coupang.com/a/gSLiukCRNI,B,Y,953,64
사과,https://link.coupang.com/a/gSLgBQ7XCm,B,Y,950,65
전분,https://link.coupang.com/a/gSLjrTLj8m,D,Y,937,66
신김치,,D,Y,925,67
방울토마토,,D,Y,905,68
