keyword,대분류,중분류,소분류,세분류,세세분류,Feature,synonyms,hyperonym,타사전추가여부
이유식,TPO,TPO,대상,,,,,,
성장기,TPO,TPO,대상,,,,,,
다이어터,TPO,TPO,대상,,,,,,
초딩,TPO,TPO,대상,,,,,,
청소년,TPO,TPO,대상,,,,,,
여성,TPO,TPO,대상,,,,,,
어른,TPO,TPO,대상,,,,,,
어르신,TPO,TPO,대상,,,,,,
아이,TPO,TPO,대상,,,,,,
아기,TPO,TPO,대상,,,,,,
부부,TPO,TPO,대상,,,,,,
부모님,TPO,TPO,대상,,,,,,
남녀노소,TPO,TPO,대상,,,,,,
남편,TPO,TPO,대상,,,,,,
신랑,TPO,TPO,대상,,,,,,
아이들,TPO,TPO,대상,,,,,,
꼬마,TPO,TPO,대상,,,,,,
엄마,TPO,TPO,대상,,,,,,
친구,TPO,TPO,대상,,,,,,
식구,TPO,TPO,대상,,,,,,
초보,TPO,TPO,대상,,,,,,
친정엄마,TPO,TPO,대상,,,,,,
동생,TPO,TPO,대상,,,,,,
아빠,TPO,TPO,대상,,,,,,
어린이,TPO,TPO,대상,,,,,,
직장인,TPO,TPO,대상,,,,,,
즉석,TPO,TPO,상황,,,,,,
휴식,TPO,TPO,상황,,,,,,
후식,TPO,TPO,상황,,,,,,
홈파티,TPO,TPO,상황,,,,,,
혼자,TPO,TPO,상황,,,,,,
혼밥,TPO,TPO,상황,,,,,,
할로윈,TPO,TPO,상황,,,,,,
파티,TPO,TPO,상황,,,,,,
축제,TPO,TPO,상황,,,,,,
안주,TPO,TPO,상황,,,,,,
식후,TPO,TPO,상황,,,,,,
식전,TPO,TPO,상황,,,,,,
스트레스,TPO,TPO,상황,,,,,,
손님,TPO,TPO,상황,,,,,,
상차림,TPO,TPO,상황,,,,,,
복날,TPO,TPO,상황,,,,,,
발렌타인,TPO,TPO,상황,,,,,,
밑반찬,TPO,TPO,상황,,,,,,
무더위,TPO,TPO,상황,,,,,,
명절전,TPO,TPO,상황,,,,,,
맥주안주,TPO,TPO,상황,,,,,,
매일,TPO,TPO,상황,,,,,,
