index,ingredient_name,traits,tags,substitutes,substitutes2,대분류,중분류,synonyms,속성수,언급량
3,붉은대게,"감칠맛, 단맛, 탱글함, 저지방, 해산물육수","고단백, 저지방, 보양, 다이어터","꽃게, 대게, 킹크랩","술봉가자미, 왕게, 날치, 물렁가시붉은새우, 새우살, 대게, 맛조개, 복어, 감성돔, 참붕어, 조개, 털탑고둥, 돔, 징거미새우, 통치, 닭새우, 중하, 가리비, 나비가오리, 까치상어, 육동가리돔, 피조개, 붉은멍게, 국자가리비, 낙지, 향어, 비단가리비, 불볼락, 모시조개, 눈가자미, 점농어, 풍선군소, 참다랑어, 부시리, 참담치, 게르치, 북방대합, 적새우살, 게, 참마자, 왕새우, 크릴, 담치, 문치가자미, 부치, 참갑오징어, 큰가리비, 도화양태, 드렁허리, 신자미, 달팽이, 매퉁이, 대하, 미더덕, 홍합, 갑오징어, 개볼락, 독가시치, 어름돔, 한치, 도화돔, 흰다리새우, 꽃게, 줄노래미, 접시조개, 굴, 오분자기, 진주담치, 펄닭새우, 건홍합, 긴뿔천길새우, 바지락살, 관자, 바지락, 대합, 백합, 새우, 철모새우, 알, 부채새우, 개조개, 각시흰새우, 염주알다슬기, 악상어, 나팔고둥, 눈강달이, 쏨뱅이, 홍어, 석굴, 각시가자미, 횟대, 혹돔, 호박돔, 왕우렁, 왕우럭조개, 각시돔, 방어, 황다랑어, 황줄돔, 망둑어, 백미돔, 빨강부치, 누치, 중멸치, 범가자미, 암치, 임연수어, 샛멸, 샛돔, 모래무지, 멸치육수, 보리멸, 곱상어, 돔발상어, 쭈꾸미, 살살치, 큰논우렁이, 게맛살, 눈퉁멸, 얼룩통구멍, 곳체다슬기, 뱅어, 창꼴뚜기, 꼼치, 말전복, 홍합살, 쥐노래미, 대구, 보리새우, 점감펭, 피뿔고둥, 주름미더덕, 가재, 보라성게, 주꾸미, 구이용삼치, 방게, 북방전복, 황태, 불똥꼴뚜기, 장갱이, 강준치, 번데기, 산천어, 해파리, 은상어, 갯장어, 오징어, 황어, 전기가오리, 동갈치, 전복, 닭게, 성대, 메기, 장문볼락, 코다리, 민꽃게, 세고리물레고둥, 전갱이, 갈색고리돼지고둥, 은연어, 황새치, 조기, 볶음용멸치, 북어머리, 북어육수, 먹장어, 참문어, 푸렁통구멍, 참다슬기, 콩깍지고둥, 동동갈치, 키조개, 자반고등어, 벤자리, 민어, 새우 튀김용, 그물베도라치, 우럭볼락, 참서대, 줄가자미, 양미리, 가다랭이, 대멸치, 꼴뚜기, 미꾸리, 오징어채, 새우깡, 도다리, 가다랑어, 독돔, 둑중개, 탄금추, 평삼치, 해삼, 가래상어, 조각매물고둥, 참조기, 빨간횟대, 눈볼대, 동죽, 멍게, 훈제연어, 꽁치, 두드럭고둥, 재첩, 관절매물고둥, 문절망둑, 고등어, 쌍동가리, 갈치, 꽃새우, 웅어, 장어, 참가자미, 탁자볼락, 네동가리, 삼세기, 잔멸치, 젓갈, 황돔, 굴비, 초어, 디포리, 만새기, 망상어, 놀래기, 고둥, 가시발새우, 다랑어, 넙치, 조피볼락, 히메치, 줄전갱이, 쏘가리, 전어, 청새치, 노가리, 노래미, 자리돔, 청새리상어, 살오징어, 연어살, 점줄우럭, 정어리, 용치놀래기, 가물치, 가자미, 까나리, 살조개, 청어, 금눈돔, 대문어, 동태, 미꾸라지, 베도라치, 긴고둥, 붉바리, 블루길, 새조개, 손질갑오징어, 송어, 순살고등어, 우럭, 잉어, 갯가재, 간삼치살, 괴도라치, 국매리복, 기름가자미, 눈양태, 등가시치, 삼치살, 상어, 실붉돔, 실꼬리돔, 흰점복, 쥐치, 투라치, 건명태, 건새우, 뱀장어, 옥돔, 별쭉지성대, 별성대, 성게, 쇠갑오징어, 흑태, 가시망둑, 가자미살, 강담돔, 낙지젓, 논우렁이, 다금바리, 동태살, 떡조개, 민달고기, 북어, 사랑놀래기, 애꼬치, 우각바리, 준치, 줄삼치, 홍감펭, 황점볼락, 각시서대, 갈색띠매물고둥, 동사리, 용가자미, 밀복, 아귀, 주름다슬기, 다시마, 보말고둥, 삼치, 갈가자미, 밴댕이, 볼락, 건오징어, 까칠복, 꽁지양태, 참돔, 참치, 홍연어, 노랑가오리, 붉은메기, 붕어, 지중해담치, 펄조개, 피라미, 가오리, 물메기, 별상어, 보구치, 황아귀, 뿔돔, 꺽저기, 병어, 황놀래기, 돛양태, 말백합, 돌돔, 멸치, 모조리상어, 진주조개, 베스, 은대구, 다시멸치, 비단고둥, 칠성장어, 붕장어, 참꼴뚜기, 자주복, 문어, 까치복, 띠구슬다슬기, 참굴, 둥근전복, 돌가자미, 볼기우럭, 생선, 부세, 강달이, 지리멸치, 아홉동가리, 벵에돔, 참게, 빙어, 졸복, 연어, 명엽채, 꼽새돔, 박대, 새우가루, 물오징어, 민허리돼지고둥, 물레고둥, 누루시볼락, 도루묵, 구갈돔, 노랑벤자리, 능성어, 달고기, 열쌍동가리, 흰백목이, 건파래, 흉상어, 젓새우, 학공치, 황매퉁이, 매끈이고둥, 농어, 개량조개, 장어베도라치, 민태, 파래, 두툽상어, 둥근돌김, 무지개송어, 검복, 양태, 대두어, 큰우슬우렁이, 자른미역, 은어, 초밥김, 가무락조개, 궁제기서대, 갈전갱이, 기름종개, 납지리, 큰구슬우렁이, 대구횟대, 미역줄기, 명란, 서대, 창자파래, 개불, 꼬시래기, 모자반, 끈멍게, 다슬기, 포, 목탁가오리, 갑오징어채, 생미역, 오징어젓, 오징어실채, 톳, 메뚜기, 도치, 군소, 우렁이, 좀주름다슬기, 군평선이, 위고둥, 진미채, 먹태, 파래전장김, 납작파래, 홑파래, 불등풀가사리, 칠분도미, 쑤기미, 양념젓갈, 연어기름, 청각, 크릴 페이스트, 가시파래, 말쥐치, 참새우젓, 여덟동가리, 미역, 인상어, 곰피, 가라지, 바닷가재, 명태, 꼬막, 새우젓, 소라, 새우육젓, 바다빙어, 달강어, 세발낙지, 건다시마, 쑥감펭, 빨간대구, 틸라피아, 숭어, 새꼬막, 범돔, 자라고기",재료,해산물,,0,
7,녹두 국수,"쫄깃함, 전분질, 건조면, 담백함","저지방, 글루텐프리, 다이어트","현미면, 메밀국수, 콩국수면","메밀 냉면, 함흥냉면/건면, 중면, 통밀스파게티, 메밀 국수, 자른손당면, 찹쌀 국수, 곤약면, 밀면, 칡냉면/건면, 우동면, 우리밀칼국수, 우리밀우동면, 국수형, 중식면, 칼국수면, 떡, 고구마떡볶이떡, 가래떡, 당면, 떡국떡, 스파게티면, 떡볶이떡, 백밀스파게티, 소면, 파스타 면, 피자 도우, 치자국수/건면, 납작당면, 면, 쫄면, 멥쌀 국수, 피자도우, 애호박면, 라이스페이퍼, 에그누들, 국수, 또띠야, 또띠아, 우리밀부침가루, 강력밀가루, 밀가루, 양장피, 메밀가루, 밀, 박력밀가루, 팬케이크가루, 감자부침가루, 만두피, 녹두전/가루, 녹두가루, 마카로니, 콜리플라워 도우, 중력밀가루, 튀김가루, 햄버거빵, 핫케이크, 라자냐 면, 스파게티, 통밀또띠아, 난, 빵가루/건식, 묵가루, 빵가루, 부침가루",재료,면류/밀가루류,,0,
10,올스파이스,"감초향, 따뜻한향신, 미세분말, 발색력","항산화, 소화, 면역력","계피, 정향, 넛맥","생강페이스트, 유기농설탕, 빙설탕, 맛간장, 고춧가루, 메이플시럽, 저염 소금, 칠리, 발사믹식초, 볶음고추장, 멸치 육수, 식초, 시럽, 과립형육수, 식용유, 보리고추장, 천일염, 면실유, 옥수수기름, 원당, 유채씨기름, 간장, 아가베시럽, 간장/저염, 검은후추, 들기름, 양념, 치즈시즈닝, 정제염, 초고추장, 코코넛 슈가, 해바라기유, 현미유, 복숭아씨기름, 물엿, 쇼트닝, 치킨 스톡, 아마씨유, 선한유기농간장, 매실액, 잼, 참기름, 가공염, 매실청, 생강청, 올리고당, 산초가루, 육두구, 맛술, 겨자 페이스트, 액젓, 구운소금, 깐생강, 멸치액젓, 과당, 고추장아찌, 각설탕, 황설탕, 포도당, 백설탕, 쇠고기 육수, 고추장, 마라 육수, 굵은소금, 자장가루, 조청, 알룰로스, 까나리액젓, 일본된장, 후추, 흑설탕, 엿, 후리카케, 육수, 다시마 육수, 죽염, 흰후추, 유자청, 당밀, 베이킹파우더, 엿기름, 국간장, 생강갈은것, 생강 페이스트, 생강 피클, 생강가루, 생강, 들깨가루, 허브소금, 올리브유, 카레가루, 설탕, 치킨튀김가루, 고추씨유, 사과식초, 쌀조청, 포도씨유, 겨자, 양파시즈닝, 소금, 에리스리톨, 쌀고추장, 고추기름, 꿀, 고추가루, 카레, 바닐라 익스트랙, 스테비아, 코코넛오일, 쌈장, 와사비/페이스트, 야채 육수, 저염 간장, 땅콩 버터, 된장, 양조간장, 깨소금, 된장국, 소금물",재료,양념/조미료,,0,
12,올보리,"전분질, 고소함, 건조곡물, 부드러움","고식이섬유, 저지방, 건강","현미, 통보리, 귀리","밤콩, 주황미, 찰흑미, 큰알보리, 메옥수수, 호밀, 겉귀리, 조, 메밀, 귀리, 쌀보리쌀, 겉보리, 옥수수, 현미, 현미시리얼, 율무쌀, 흑미, 맥주보리, 차수수, 찰기장, 통밀, 보리, 홍미, 현미밥, 쌀밥, 잡곡밥, 기장, 흰빵, 호밀빵, 쌀, 밥, 녹미, 오트밀, 기능성쌀, 통밀빵, 옥수수묵, 흑밀, 보릿가루, 식빵, 빵, 금강밀, 신미찰밀, 통밀가루, 쌀귀리, 멥쌀, 퀴노아, 백미, 기능성찹쌀, 통수수, 연자육, 통호밀, 찹쌀현미, 옥수수시리얼, 잠두, 아마씨 가루, 잣, 귀리시리얼, 연황미, 달지않은곡물플레이크, 찰보리쌀, 혼합곡, 청차조, 수수, 땅콩, 오분도현미누룽지, 찰보리, 쌀겨기름, 캐슈너트, 아몬드가루, 해바라기, 기능성잡곡, 마카다미아, 은행, 찹쌀, 브라질너트, 치아씨, 피스타치오, 보리,보리쌀, 잡곡, 목화씨, 호두, 연씨, 쌀알, 찰수수, 날개콩, 찰쌀, 피칸, 유기농찹쌀가루, 율무, 아마씨, 호박씨, 혼합잡곡, 멥쌀밥, 혼합곡물, 우리밀, 도토리묵, 찹쌀가루, 진홍미, 감자전분, 쌀보리, 찹쌀백미, 쌀가루, 맵쌀, 흰쌀, 검정깨, 들깨, 국산도토리묵, 수박씨, 튀밥, 아몬드버터, 삼씨, 전분, 참깨, 볶은참깨, 아몬드, 코코넛, 메밀묵, 해바라기씨, 견과류믹서, 고구마전분, 찰옥수수, 호두유, 모둠견과, 견과류기타, 옥수수알, 개암, 아몬드유, 견과류믹스, 미숫가루, 아보카도유, 헤이즐넛, 강냉이, 무농약해바라기씨, 케쉬넛, 참깨죽, 땅콩기름, 도토리, 초콜릿, 화이트초콜릿, 오일동안들깨가루, 땅콩버터, 칼슘쌀눈, 보리밥 열매, 차조, 단옥수수, 코코아, 혼합식물성유, 우무묵, 밤, 카카오 가루, 건포도, 캐롭 가루, 쌀뜨물",재료,곡류/견과류/씨앗류,,0,
13,누에,"단백질, 건조성, 특수식감, 불쾌향","고단백, 보양, 약재","누에가루, 한약재, 동충하초","황기, 백모근, 사프란, 바질가루, 가시오가피, 월계수, 레몬그라스, 바질, 둥굴레, 파마산, 페퍼민트, 다래나무순차, 동충하초, 구기자, 오미자, 가시오갈피, 당귀, 꿀풀, 코코아차, 밤묵, 한라봉주스, 울금, 갈색 거저리, 두충차, 대추차, 박쥐나무, 석묵, 수액, 정향, 삼잎국화, 쌍별귀뚜라미, 단풍나무, 민트, 자운영, 배암차즈기, 곤약, 삼, 수삼, 우뭇가사리묵, 녹차, 녹즙, 알로에, 흑맥주, 상지차, 쌍화차, 양하, 진달래꽃, 초석잠, 타라곤, 배초향, 파슬리, 모과차, 식혜, 쌀식초, 아카시아, 엄나무, 녹차라떼, 흑초, 감잎차, 레몬 과즙, 레몬즙, 사자발쑥, 사탕수수, 영양효모, 우뭇가사리, 포도식초, 현미식초, 음나무, 밀크초콜릿, 유자차, 배식초, 마가목 열매, 보이차, 프로폴리스, 산수유, 천마, 식초 음료, 참당귀, 우롱차, 인동녹차, 감식초, 보검선인장, 타임, 결명자, 도라지, 도라지가공품, 치자, 아마란스, 파슬리가공품, 마름, 올방개묵, 구절초차, 옥수수차, 더덕, 전호, 민들레, 현미녹차, 묵/건조, 고려엉겅퀴, 산자나무 열매, 수리취, 효모, 율무차, 선인장, 이고들빼기, 옥수수전분, 화살나무, 인삼차, 송화, 모링가, 원두, 치자꽃, 카모마일차, 결명자차, 잇꽃, 장군차, 옥수수수염차, 생강차, 칠면초, 백삼, 고로쇠나무, 월계수잎, 인삼, 구기자차, 골든세이지, 라벤더, 퉁퉁마디, 방가지똥, 치커리차, 도라지차, 삼백초, 대나무, 산초, 고추냉이, 클로렐라, 꾸지뽕, 싹, 엉겅퀴, 고수, 국화꽃, 국화차, 모시풀, 오가피, 뿌리, 제비쑥, 오레가노, 칡, 애플민트, 칡뿌리, 꽃줄기, 누에동충하초, 칡즙, 홍삼, 질경이, 솔잎, 강황, 감초, 팔각, 바닐라 빈, 씨겨자, 일당귀, 누리장나무잎, 참빗살나무, 닥풀, 잇꽃씨기름, 대황, 로즈메리, 다크초콜릿, 젤라틴, 잔대, 계피",재료,기타생식재료,,0,
16,기러기알,"부드러움, 진한풍미, 고지방, 고단백","고단백, 고지방, 보양","오리알, 달걀, 메추리알","피단, 계란, 계란말이, 달걀흰자, 달걀, 달걀지단, 오리알, 난백, 난황, 난황액, 아쿠아파바, 유정란, 메추리알",재료,달걀/난류,,0,
18,아티초크,"쓴맛, 식이섬유질, 부드러움, 촉촉함","항산화, 장건강, 다이어트","브로콜리줄기, 셀러리, 해바라기심","깻잎나물가공품, 근대, 가지, 어린잎, 우거지, 국수호박, 왜무, 로메인, 축파, 파드득나물, 여주, 애호박, 산부추, 비름나물, 고추나물, 머위나물, 포항초, 꽃케일, 두메부추, 얼갈이배추, 고사리, 돼지호박, 오크라, 취나물, 쪽파, 아스파라거스, 루꼴라, 참나물, 참두릅, 씀바귀, 고들빼기, 동채, 무청, 방풍나물가공품, 공심채, 애호박가공품, 참나물가공품, 섬초, 고사리가공품, 나박 김치, 샬롯, 깻잎, 어수리, 소리쟁이, 부추, 얼갈이가공품, 물냉이, 생취나물, 건무청시래기, 쌈배추, 브로콜리, 뽕잎, 곰취, 감자전, 비름나물가공품, 취나물가공품, 돌미나리, 둥근마, 봄동, 수세미, 실파, 잎상추, 토란, 방풍나물, 고구마순, 늙은호박, 미역취, 두릅, 유채나물, 쥬키니, 아욱, 동아, 비타민채, 마, 양배추, 건가지, 열대비름, 꽃양배추, 감자, 개비름, 노랑봄배추, 쑥, 단마, 파김치, 리크, 숙주가공품, 부지갱이, 깻잎순, 시래기, 깻잎가공품, 냉이, 눈개승마, 데친건취나물, 데친배추시래기, 마타리, 무시래기, 물쑥, 미나리, 숙주나물, 시금치가공품, 콩나물, 쑥갓, 쑥부쟁이, 고구마가공품, 고춧잎, 곤드레, 라디초, 삼나물, 데친고사리, 영아자, 청경채, 무시래기가공품, 박, 냉이가공품, 들깻잎, 콩잎, 깐단호박, 깻잎나물, 매생이, 친환경데친고사리, 숙주, 무순, 유채, 콜리플라워, 고구마, 곤달비, 얼갈이, 호부추, 줄나물, 갯기름나물, 연근가공품, 방울다다기양배추, 참취, 유채 김치, 단호박, 호박, 호박고구마, 쇠귀나물, 달래, 시금치, 참김, 무말랭이, 삼채, 돌나물, 갈파래, 사탕무, 우엉채, 할라페뇨, 총각무, 산마늘, 결구, 순무, 양파, 돼지감자, 순채, 연근조림용, 연근, 땅두릅, 완숙토마토, 갓, 콜리플라워 라이스, 미니파프리카, 비비추, 신선초, 히카마, 잎, 개미취, 오이, 당근, 노각, 깐대파, 치콘, 아피오스감자, 조선무, 울외장아찌, 깍두기, 단무지, 된장깻잎장아찌, 열무김치, 대나무순, 무, 무 절임, 물미나리, 박고지, 새싹, 쌈추, 깐쪽파, 고들빼기김치, 꽈리고추, 파프리카, 염교, 당근주스, 데친토란대, 호박즙, 친환경세척연근, 대파, 알팔파, 참죽나물, 토마토페이스트, 마늘종 장아찌, 친환경깐통연근, 토란대, 골파, 김, 자색 양파, 콩나물가공품, 차요테, 청오이, 무말랭이가공품, 오이지, 죽순, 경수채, 상추, 마늘쫑가공품, 배추 김치, 오이고추, 통마늘, 열무, 갓김치, 적양무, 열무 김치, 열무가공품, 케일, 토마토, 가지말랭이, 고비, 샐러리, 우엉, 원추리, 부지깽이, 비트, 청양고추, 래디쉬, 머위, 치커리, 는쟁이냉이, 알감자, 고추가공품, 돌산갓, 고추, 들깻잎장아찌, 오이 피클, 마늘장아찌, 깐마늘, 매실 절임, 솔부추, 오이 소박이, 콜라비, 채소피클, 우엉가공품, 쑥가공품, 김자반볶음, 갯나물, 달래가공품, 늙은오이, 취청, 냉동다진마늘, 콜라비가공품, 김밥용김, 피망, 마늘 장아찌, 붉은양배추, 풋고추, 풋마늘, 마늘종, 게걸무, 양상추, 셀러리, 파, 야콘, 세발나물, 건고추, 마늘쫑, 마늘, 김치, 배추, 배추김치",재료,야채/채소,,0,
19,비름나물가공품,"부드러움, 향긋함, 데침가능, 수분多","항산화, 장건강, 다이어트","시금치, 참나물, 열무나물","방풍나물, 취나물가공품, 돌미나리, 미역취, 유채나물, 비타민채, 열대비름, 개비름, 리크, 냉이, 눈개승마, 데친건취나물, 마타리, 물쑥, 미나리, 숙주나물, 시금치가공품, 콩나물, 쑥갓, 쑥부쟁이, 고춧잎, 삼나물, 영아자, 냉이가공품, 들깻잎, 콩잎, 깻잎나물, 참취, 실파, 토란, 양파, 고구마순, 늙은호박, 두릅, 쥬키니, 아욱, 갓, 동아, 비비추, 잎, 개미취, 양배추, 깐대파, 꽃양배추, 노랑봄배추, 물미나리, 숙주가공품, 부지갱이, 깻잎순, 깻잎가공품, 데친배추시래기, 대파, 데친고사리, 참죽나물, 청경채, 무시래기가공품, 박, 골파, 깐단호박, 청오이, 달래, 깻잎나물가공품, 근대, 가지, 어린잎, 우거지, 국수호박, 왜무, 로메인, 축파, 파드득나물, 애호박, 산부추, 비름나물, 고추나물, 머위나물, 포항초, 꽃케일, 두메부추, 얼갈이배추, 고사리, 돼지호박, 오크라, 취나물, 쪽파, 아스파라거스, 루꼴라, 참나물, 참두릅, 씀바귀, 고들빼기, 동채, 무청, 방풍나물가공품, 공심채, 애호박가공품, 참나물가공품, 섬초, 고사리가공품, 나박 김치, 샬롯, 깻잎, 어수리, 소리쟁이, 부추, 얼갈이가공품, 물냉이, 생취나물, 건무청시래기, 쌈배추, 브로콜리, 뽕잎, 곰취, 감자전, 아티초크, 삼채, 돌나물, 둥근마, 봄동, 수세미, 잎상추, 총각무, 산마늘, 결구, 순무, 돼지감자, 순채, 땅두릅, 완숙토마토, 미니파프리카, 신선초, 히카마, 마, 오이, 당근, 노각, 치콘, 건가지, 조선무, 깍두기, 단무지, 된장깻잎장아찌, 열무김치, 대나무순, 감자, 무, 무 절임, 쑥, 단마, 파김치, 고들빼기김치, 꽈리고추, 파프리카, 시래기, 데친토란대, 무시래기, 친환경세척연근, 알팔파, 고구마가공품, 곤드레, 마늘종 장아찌, 친환경깐통연근, 토란대, 매생이, 친환경데친고사리, 숙주, 무순, 유채, 콜리플라워, 고구마, 곤달비, 얼갈이, 호부추, 줄나물, 갯기름나물, 연근가공품, 차요테, 유채 김치, 단호박, 호박, 호박고구마, 쇠귀나물, 달래가공품, 시금치, 참김, 무말랭이, 갈파래, 사탕무, 우엉채, 할라페뇨, 연근조림용, 연근, 콜리플라워 라이스, 아피오스감자, 울외장아찌, 박고지, 새싹, 쌈추, 깐쪽파, 염교, 당근주스, 호박즙, 라디초, 토마토페이스트, 김, 자색 양파, 콩나물가공품, 무말랭이가공품, 오이지, 방울다다기양배추, 죽순, 경수채, 상추, 마늘쫑가공품, 배추 김치, 오이고추, 통마늘, 열무, 갓김치, 적양무, 열무 김치, 열무가공품, 케일, 토마토, 가지말랭이, 고비, 샐러리, 우엉, 원추리, 부지깽이, 여주, 비트, 청양고추, 래디쉬, 머위, 치커리, 는쟁이냉이, 알감자, 고추가공품, 돌산갓, 고추, 들깻잎장아찌, 오이 피클, 마늘장아찌, 깐마늘, 매실 절임, 솔부추, 오이 소박이, 콜라비, 채소피클, 우엉가공품, 쑥가공품, 김자반볶음, 갯나물, 늙은오이, 취청, 냉동다진마늘, 콜라비가공품, 김밥용김, 피망, 마늘 장아찌, 붉은양배추, 풋고추, 풋마늘, 마늘종, 게걸무, 양상추, 셀러리, 파, 야콘, 세발나물, 건고추, 마늘쫑, 마늘, 김치, 배추, 배추김치",재료,야채/채소,,0,
21,양송이버섯,"부드러움, 감칠맛, 수분多, 담백함","비건, 저칼로리, 다이어트","새송이버섯, 표고버섯, 느타리버섯","갈색양송이, 나도팽나무버섯, 백만송이버섯, 갈색만가닥버섯, 버섯, 갈색팽이, 아위버섯, 노랑느타리버섯, 애느타리버섯, 검은비늘버섯, 분홍느타리버섯, 느타리버섯, 밤버섯, 참타리버섯, 청느타리버섯, 포타벨라, 노루궁뎅이버섯, 만가닥버섯, 표고버섯, 풀버섯, 뽕나무버섯, 건목이버섯, 여름느타리버섯, 새송이버섯, 꽃송이버섯, 표고가루, 능이버섯, 석이버섯, 건표고, 잎새버섯, 율무느타리버섯, 건표고가공품, 싸리버섯, 영지버섯, 버들송이버섯, 큰느타리버섯, 볶음새송이, 송이버섯, 목이버섯, 맛타리버섯, 상황버섯, 팽이버섯",재료,버섯류,,0,
23,삼겹,"기름짐, 고소함, 바삭함, 풍미강함","고지방, 고단백, 보양","목살, 항정살, 오겹살","삼겹살, 훈제 오리, 어린양 부산물, 훈제닭고기, 곱창, 고래고기, 훈제오리고기, 돈육, 멧돼지고기, 쇠고기, 청둥오리, 오리, 등갈비, 돼지기름, 갈비, 오골계, 무항생제성계, 암꿩, 거위알, 무항생제절단육, 양고기, 숫꿩, 말고기, 씨암탉떡갈비, 가슴살, 훈제오리, 오리훈제, 닭꼬치/생것, 소고기, 닭기름, 돼지갈비, 파닭, 목살, 어린양고기, 전지, 양, 한우, 소 부산물, 닭 부산물, 닭발, 절단육, 목심, 등심, 정육, 날개, 달콤닭정육, 돼지 부산물, 위, 쇠기름, 메추리고기, 거위고기, 머리고기, 무항생제정육, 쇠고기분말, 허파, 송아지고기, 영계, 채끝, 닭고기, 돼지, 살코기, 선지 비율 높은것, 내장, 닭 육수, 닭뼈 육수, 췌장, 사골엑기스, 뒷다리, 안심, 무항생제가슴살, 설도, 우족국물, 다리, 송아지 부산물, 양지국물, 오리고기, 토끼고기, 꿩고기, 선지, 사골국, 잡뼈, 간, 염소고기, 선지 비율 낮은것, 우둔살, 우둔, 앞다리, 양지, 돼지고기, 거위 부산물, 꼬리, 소고기육수, 칠면조고기, 사태, 천엽, 닭가슴살, 잡뼈국물, 닭다리, 닭갈비, 오리지널, 닭목, 닭집",재료,육류,,0,
