id,title,link,llm_raw_ingredients,used_ingredients_final
1285,비빔수제비라고 아시나요?,https://www.youtube.com/watch?v=coagMFr_nV8,"생수제비, 양배추, 오이, 꽃상추, 참기름, 조미김가루, 통깨, 고추장, 양조식초, 황설탕, 진간장, 간마늘, 고운고춧가루, 후춧가루, 물","간장,고추장,다진마늘,설탕,식초,양배추,오이,참기름,참깨,후추"
1288,달걀로 만두를 어떻게 만들지??,https://www.youtube.com/watch?v=5-a5CPASYBc,"달걀, 당면, 대파, 당근, 청양고추, 진간장, 황설탕, 꽃소금, 참기름, 후춧가루, 식용유","간장,달걀,당근,당면,설탕,소금,식용유,참기름,청양고추,파,후추"
1294,이건 짚고 넘어가야겠어요,https://www.youtube.com/watch?v=Tr2KL-Xl85k,,
1300,수육에 같이 먹는 보쌈무김치 만드는 법 의외로 간단합니다,https://www.youtube.com/watch?v=KbWtIU129hw,"무, 정수물, 황설탕, 고운고추가루, 간마늘, 꽃소금, 알배추, 수육, 깻잎, 통깨","깻잎,다진마늘,무,설탕,소금,알배추,참깨"
1304,비교 불가! 압도적인 축제를 열 거예요,https://www.youtube.com/watch?v=nCH30WGFQt4,"굴, 우럭, 바닷장어, 멸치, 멍게","굴,멍게,멸치,우럭"
1311,흑백요리사 얘기할 건데 퍼트리면 안 된다,https://www.youtube.com/watch?v=utIbM9Iua-k,,
1319,5분 안에 만드는 초간단 비빔밥 만들기! (Feat. 전자레인지),https://www.youtube.com/watch?v=Jq2SwKMw8vI,"밥, 애호박, 콩나물, 무, 당근, 표고 버섯, 고추장, 국간장, 참기름, 통깨, 김가루, 계란, 식용유","간장,고추장,김가루,달걀,당근,무,식용유,애호박,참기름,참깨,콩나물,표고버섯"
1324,[내꺼내먹] 연돈볼카츠 점주 미팅 / 신메뉴 개발 / 프로모션 진행,https://www.youtube.com/watch?v=uHbJCJjXJ0U,,
1333,[이연복] 뚝배기로 쉽게 만드는 영양만점 계란찜! 폭탄계란찜 2종!,https://www.youtube.com/watch?v=TsGpKnGJWbo,"계란, 토마토, 대파, 쪽파, 액젓, 들기름, 간마늘, 물, 체다치즈, 명란젓","다진마늘,달걀,들기름,명란,액젓,쪽파,체다치즈,토마토,파"
1334,[이연복] 향긋한 마늘종(쫑)과 고소한 돼지고기의 찰떡궁합! 돼지고기마늘종볶음밥!,https://www.youtube.com/watch?v=3Ekcy0N3vPs,"마늘종, 돼지고기, 당근, 대파, 해선간장, 물, 즉석밥, 달걀, 식용유","달걀,당근,돼지고기,마늘종,식용유,파,햇반"
1335,[이연복] 속이 꽉찬 제철 바지락! 도삭면으로 즐기는 바지락면!,https://www.youtube.com/watch?v=oVWj7h7dQ6U,"대파, 마늘, 피망, 청양고추, 바지락, 도삭면, 식용유, 굴소스, 후춧가루, 청피망, 홍피망, 물, 찬물","굴소스,도삭면,마늘,바지락,식용유,청양고추,파,파프리카,후추"
1336,[이연복] 목란 레시피 그대로! 탕수육 최초공개 | 탕수육 소스 만들기!,https://www.youtube.com/watch?v=e9jHy8AJ4yc,"돼지고기 등심, 전분, 고구마전분, 감자전분, 계란, 식용유, 양파, 당근, 오이, 완두콩, 목이버섯, 설탕, 식초, 간장, 노추, 물","간장,감자전분,고구마전분,노추,달걀,당근,목이버섯,설탕,식용유,식초,양파,오이,완두콩,전분"
1337,[이연복] 토마토의 아삭함과 계란의 부드러움을 동시에! 토마토계란볶음!,https://www.youtube.com/watch?v=e8rPgeVUP68,"달걀, 토마토, 치킨스톡, 식용유, 대파","달걀,식용유,치킨스톡,토마토,파"
1338,[이연복] 맛과 건강 다 잡았다! 메밀삼선해물파전!,https://www.youtube.com/watch?v=Gt8PdTE_Hb8,"메밀가루, 물, 쪽파, 계란, 오징어, 조갯살, 새우, 청고추, 홍고추, 기름, 간장, 식초, 양파","간장,달걀,메밀가루,빨간고추,새우,식초,양파,오징어,쪽파"
1340,[이연복]  꿔바로우의 오해와 진실! 찹쌀없이도 바삭한 비결!,https://www.youtube.com/watch?v=cskCTUMbP4s,"돼지고기 등심, 고구마전분, 감자전분, 물, 식용유, 소금, 후춧가루, 간장, 식초, 설탕, 전분물","간장,감자전분,고구마전분,설탕,소금,식용유,식초,후추"
1341,[이연복]  겉바 속촉! 옛 친구와 함께 만드는 탕수갈비!,https://www.youtube.com/watch?v=Usi110kd_wQ,"돼지갈비, 대파, 마늘, 식용유, 물, 해선간장, 설탕, 레몬청, 후춧가루, 식초","돼지갈비,레몬청,마늘,설탕,식용유,식초,파,후추"
1342,[이연복]  매콤한 볶음짬뽕에 바삭한 식감의 면발! 크리스피중화라면!,https://www.youtube.com/watch?v=RETUP7fuz0o,"배추, 양파, 당근, 숙주나물, 새우, 파, 부추, 다진 마늘, 돼지고기, 라면, 굴소스, 전분, 식용유, 라면스프, 건더기스프, 물","건더기스프,굴소스,다진마늘,당근,돼지고기,라면,라면스프,배추,부추,새우,숙주나물,식용유,양파,전분,파"
1343,[이연복]  매운 맛과 쫄깃한 면발이 일품! 초간단 볶음짬뽕!,https://www.youtube.com/watch?v=Qymxbu3kpOg,"라면, 배추, 당근, 양파, 부추, 숙주나물, 돼지고기, 식용유, 다진 마늘, 대파, 라면 스프, 건더기 스프, 고춧가루, 물","건더기스프,고춧가루,다진마늘,당근,돼지고기,라면,라면스프,배추,부추,숙주나물,식용유,양파,파"
1344,[이연복]  건강과 맛을 동시에! 당근양배추라페!,https://www.youtube.com/watch?v=ngT7U2eNWkk,"당근, 양배추, 다진 마늘, 스테비아, 소금, 들기름, 레몬즙, 연겨자, 통밀식빵, 계란, 상추, 토마토, 양상추, 닭가슴살, 간장","간장,다진마늘,달걀,닭가슴살,당근,들기름,레몬,상추,소금,스테비아,식빵,양배추,와사비,토마토"
1345,[이연복] 고소함과 아삭한을 한입에! 양배추계란샌드위치!,https://www.youtube.com/watch?v=tWHthgUfRd4,"양배추, 계란, 당근, 양파, 햄, 대파, 홍고추, 식빵, 모차렐라 치즈, 소금, 후춧가루, 굴소스, 식용유","굴소스,달걀,당근,빨간고추,소금,식빵,식용유,양배추,양파,파,햄,후추"
1346,[이연복] 쫀득쫀득한 식감과 고소한 맛이 일품! 계란당면볶음!,https://www.youtube.com/watch?v=ipX7anOVfPQ,"당면, 해선간장, 대파, 굴소스, 양파, 참기름, 피망, 식용유, 달걀, 물, 다진 마늘, 설탕, 후춧가루","굴소스,다진마늘,달걀,당면,설탕,식용유,양파,참기름,파,파프리카,후추"
1347,[이연복] 탱탱한 면발과 촉촉한 두부의 완벽한 조합! 쉽게 만들 수 있는 마파두부라면!,https://www.youtube.com/watch?v=bwOXKERx4_Y,"다진 고기, 두부, 라면, 다진 마늘, 파, 굴소스, 전분, 식용유, 양파, 라면스프, 물","굴소스,다진마늘,두부,라면,라면스프,식용유,양파,전분,파"
1348,[이연복] 맛있는데 어디서 먹어본 맛! 칠리소스 계란프라이,https://www.youtube.com/watch?v=q74ZiZIpmGw,"계란, 식용유, 파, 다진 마늘, 당근, 양파, 토마토케첩, 굴소스, 설탕, 물, 전분물, 마요네즈","굴소스,다진마늘,달걀,당근,마요네즈,설탕,식용유,양파,토마토 케첩,파"
1349,[이연복] 설날 떡국떡 활용법! 쫄깃하고 매콤한 어향떡볶음!,https://www.youtube.com/watch?v=uXxs-Ha3SSk,"떡국떡, 돼지고기, 당근, 파, 청피망, 고춧가루, 간장, 두반장, 굴소스, 식용유, 다진 마늘, 설탕, 물","간장,고춧가루,굴소스,다진마늘,당근,돼지고기,두반장,떡국떡,설탕,식용유,파,파프리카"
1350,[이연복] 밥도둑 끝판왕! 부드러운 순두부계란조림!,https://www.youtube.com/watch?v=tP6RiRLy5Aw,"순두부, 계란, 양파, 대파, 청양고추, 고추장, 고춧가루, 치킨스톡, 다시다, 굴소스, 설탕, 미림, 참기름, 물, 고운고추가루, 다진 마늘, 알룰로스, 맛술, 쪽파, 후추","고추장,고춧가루,굴소스,다시다,다진마늘,달걀,맛술,설탕,순두부,알룰로스,양파,쪽파,참기름,청양고추,치킨스톡,파,후추"
1351,[이연복] 매콤함과 부드러움을 동시에! 크림탄탄 비빔면!,https://www.youtube.com/watch?v=eTqeAPSXCV0,"중화면, 우유, 생크림, 두반장, 치킨스톡, 양조간장, 파, 양파, 베트남고추, 오이, 땅콩버터, 땅콩, 고추기름, 물","간장,고추기름,두반장,땅콩,베트남고추,생크림,양파,오이,우유,중화면,치킨스톡,파"
1352,[이연복] 쫄깃한 식감이 일품! 가상두부!,https://www.youtube.com/watch?v=c2-8KVImv0E,"두부, 알배추, 대파, 죽순, 브로콜리, 해선간장, 베트남고추, 다진 마늘, 굴소스, 참기름, 후춧가루, 키친타월, 식용유, 물","굴소스,다진마늘,대나무순,두부,베트남고추,브로콜리,식용유,알배추,참기름,파,후추"
1353,[이연복] 아삭한 식감이 일품! 매콤감자채볶음!,https://www.youtube.com/watch?v=nEk0Ciyfy44,"감자, 피망, 다진 마늘, 대파, 고추기름, 베트남고추, 두반장, 식용유, 굴소스, 해선간장, 설탕, 식초","감자,고추기름,굴소스,다진마늘,두반장,베트남고추,설탕,식용유,식초,파,파프리카"
1354,[이연복] 꽈리고추의 아삭함과 계란의 부드러움! 꽈리고추 계란볶음!,https://www.youtube.com/watch?v=NeH4VITmLEQ,"꽈리고추, 계란, 치킨스톡, 식용유","꽈리고추,달걀,식용유,치킨스톡"
1355,[이연복] 5분만에 즐기는 맛과 영양 만점! 양배추돼지고기볶음!,https://www.youtube.com/watch?v=HvUdN6yjRvI,"양배추, 돼지고기, 홍피망, 파, 간장, 굴소스, 소금, 후춧가루, 식용유","간장,굴소스,돼지고기,소금,식용유,양배추,파,파프리카,후추"
1356,[이연복]  다진고기와 달달한 양파의 미친조합! 쟁반유니짜장!,https://www.youtube.com/watch?v=qV4oThK1Mmg,"팔도 짜장면, 돼지고기, 양파, 식용유, 굴소스, 고춧가루, 물, 짜장소스","고춧가루,굴소스,돼지고기,식용유,양파,짜장가루"
1357,[이연복]  만찢남의 퓨전요리!  페타치즈 게살춘권!,https://www.youtube.com/watch?v=LWSJYx68Rh0,"페다치즈, 춘권피, 게맛살, 시금치, 메이플 시럽, 후춧가루, 밀가루, 물, 식용유","게맛살,메이플시럽,밀가루,시금치,식용유,춘권피,후추"
1359,[이연복]  부드러움의 끝판왕! 두부계란찜!,https://www.youtube.com/watch?v=aTVe0U_BoLU,"두부, 달걀, 후춧가루, 소금, 양파, 대파, 청양고추, 물, 양조간장, 매실청, 참치액, 알룰로스, 참기름, 다진 마늘","간장,다진마늘,달걀,두부,매실청,소금,알룰로스,액젓,양파,참기름,청양고추,파,후추"
1360,[이연복]  중식의 콜라보! 새콤달콤 토마토마리네이드!,https://www.youtube.com/watch?v=ZRaLTIj4O5A,"방울토마토, 양파, 레몬, 발사믹식초, 올리브오일, 꿀, 소금, 굴소스, 후춧가루","굴소스,꿀,레몬,소금,식초,양파,올리브유,토마토,후추"
1362,[이연복] 초간단 중국 가정식 반찬! 마늘쫑돼지고기볶음!,https://www.youtube.com/watch?v=A9I_xSbEgiU,"마늘쫑, 돼지고기, 간장, 굴소스, 후춧가루, 식용유","간장,굴소스,돼지고기,마늘종,식용유,후추"
1363,"[이연복] 가격, 맛, 식감 세마리 토끼를 한번에 잡았다! 감자채무침!",https://www.youtube.com/watch?v=M_i-JtTwJNo,"감자, 당근, 대파, 마늘, 청양고추, 굴소스, 소금, 후춧가루, 참기름","감자,굴소스,당근,마늘,소금,참기름,청양고추,파,후추"
1364,[이연복] 쌀쌀한 날씨에 딱! 계란에 부쳐서 고소한 두부계란전골!,https://www.youtube.com/watch?v=VGuqrVWXINA,"계란, 소금, 두부, 알배추, 돼지고기, 양조간장, 후춧가루, 감자전분, 식용유, 물, 치킨스톡","간장,감자전분,달걀,돼지고기,두부,소금,식용유,알배추,치킨스톡,후추"
1365,[이연복] 튀기지 않고 건강하게 쪄서먹는 중식닭봉찜!,https://www.youtube.com/watch?v=Sw7Bkf6z5Kw,"닭날개, 두부튀김, 대파, 다진 마늘, 맛술, 올리고당, 굴소스, 간장, 설탕, 홍피망, 청양고추, 후춧가루, 물","간장,굴소스,다진마늘,닭날개,맛술,설탕,올리고당,청양고추,파,파프리카,후추"
1366,[이연복] 반찬이 필요없는 맛! 밥과 함께 먹는 새송이청경채볶음,https://www.youtube.com/watch?v=ciRVh34y04g,"청경채, 새송이버섯, 대파, 마늘, 굴소스, 간장, 소금, 후춧가루, 전분, 물, 식용유","간장,굴소스,마늘,새송이버섯,소금,식용유,전분,청경채,파,후추"
1367,[이연복] 색다른 재료로 맛있고 건강하게 중국가정식두부전골!,https://www.youtube.com/watch?v=QRfidA8jmsQ,"두부튀김, 두부피튀김, 양조간장, 굴소스, 참치액, 팽이버섯, 다진 마늘, 배추, 파, 실당면, 후춧가루, 물, 배춧잎, 두부피","간장,굴소스,다진마늘,배추,액젓,파,팽이버섯,후추"
