"대분류명","중분류명","소분류명","상위식재료코드","상위식재료명","설명"
"가공식품","농산물가공식품","가시오가피","1392298","가시오가피","가격은 1kg당이며, 발주는 0.1kg단위로 가능함 / 맛과 향이 좋음."
"가공식품","농산물가공식품","가지말랭이","1392299","가지말랭이","가격은 1kg당이며, 발주는 0.1kg단위로 가능함 / 국내산 가지를 절단하여 깨끗이 말린 제품"
"가공식품","농산물가공식품","가지말랭이","1392300","가지말랭이","가격은 1kg당이며, 발주는 0.1kg단위로 가능함 / 가지말랭이"
"가공식품","농산물가공식품","가지말랭이","1392301","가지말랭이","가격은 1kg당이며, 발주는 0.1kg단위로 가능함 / 가능"
"가공식품","농산물가공식품","감말랭이","1392302","감말랭이","가격은 1kg당이며, 발주는 0.1kg단위로 가능함 / 국내산 감을 피 제거후 절단하여 깨끝이 말린 제품"
"가공식품","농산물가공식품","감말랭이","1392303","감말랭이","가격은 1kg당이며, 발주는 0.1kg단위로 가능함 / 청도 감을 1/4로 나눠 반건조."
"가공식품","농산물가공식품","감말랭이","1392304","감말랭이","가격은 1kg당이며, 발주는 0.1kg단위로 가능함 / 감말랭이"
"가공식품","농산물가공식품","감자전분","1392305","감자전분","가격은 1kg당이며, 발주는 0.1kg단위로 가능함 / 국산감자 100%로 만든 감자전분이 99%인 제품입니다. 튀김에 바삭거리는 촉감이나 밀가루제품에 쫄깃한 맛을 부여하기 위하여 혼합사용하는 제품입니다"
"가공식품","농산물가공식품","감자전분","1392306","감자전분","가격은 1kg당이며, 발주는 0.1kg단위로 가능함 / 국산감자 100%로 만든 감자전분이 99%인 제품입니다. 튀김에 바삭거리는 촉감이나 밀가루제품에 쫄깃한 맛을 부여하기 위하여 혼합사용하는 제품입니다"
"가공식품","농산물가공식품","감초","1392307","감초","가격은 1kg당이며, 발주는 0.1kg단위로 가능함 / 형태가 잘 잡혀져있으며 향이 좋음. 슬라이스 됨."
"가공식품","농산물가공식품","감초","1392309","감초","가격은 1kg당이며, 발주는 0.1kg단위로 가능함 / 감초"
"가공식품","농산물가공식품","건목이버섯","1392310","건목이버섯","가격은 1kg당이며, 발주는 0.1kg단위로 가능함 / (건)흰목이버섯"
"가공식품","농산물가공식품","건목이버섯","1392311","건목이버섯","가격은 1kg당이며, 발주는 0.1kg단위로 가능함 / 국내산 생목이 깨끗이 말림 제픔"
