"대분류명","중분류명","소분류명","식재료코드","식재료명","브랜드명","생산연도","규격"
"가공식품","농산물가공식품","가시오가피","1118269","가시오가피/율성맑은아침","","2023년","가시오가피/0.1kg"
"가공식품","농산물가공식품","가지말랭이","1118270","가지말랭이/산림조합","","2024년","가지말랭이/1kg"
"가공식품","농산물가공식품","가지말랭이","1118271","가지말랭이/청채마루","","2024년","가지말랭이/0.3kg"
"농산물","버섯류","새송이버섯","1118272","새송이버섯","","2024","새송이버섯/0.3kg"
"가공식품","농산물가공식품","감말랭이","1118273","감말랭이/산림조합","","2024년","감말랭이/1kg"
"가공식품","농산물가공식품","감말랭이","1118274","감말랭이/율성맑은아침","","2023년","감말랭이/0.1kg"
"가공식품","농산물가공식품","감말랭이","1118275","감말랭이/푸르원","농업회사법인㈜푸르원","2023년","감말랭이/1kg"
"가공식품","농산물가공식품","감자전분","1118276","감자전분/함양농협","","2023년","감자전분(1kg)"
"가공식품","농산물가공식품","감자전분","1118277","감자전분(500g)","","2023년","감자전분(500g)"
"가공식품","농산물가공식품","감초","1118278","감초/율성맑은아침","","2023년","감초/0.1kg"
"가공식품","농산물가공식품","감초","1118279","감초/율성맑은아침","","2023년","감초/수입산/0.1kg"
"가공식품","농산물가공식품","감초","1118280","감초/푸르원","농업회사법인㈜푸르원","2023년","감초/수입산/0.1kg"
"가공식품","농산물가공식품","건목이버섯","1118281","건목이버섯/푸르원","농업회사법인㈜푸르원","2024년","(건)흰목이버섯/무농약/0.1kg"
"가공식품","농산물가공식품","건목이버섯","1118282","건목이버섯/산림조합","","2024년","건목이버섯/0.1kg"
"가공식품","농산물가공식품","건목이버섯","1118283","건목이버섯/율성맑은아침","","2023년","건목이버섯/수입산/0.1kg"
"가공식품","농산물가공식품","건목이버섯","1118284","건목이버섯/율성맑은아침","","2023년","건목이버섯/무농약/0.1kg"
"가공식품","농산물가공식품","건목이버섯","1118285","건목이버섯","","2023년","건목이버섯(유기농)"
"가공식품","농산물가공식품","건목이버섯","1118286","건목이버섯/푸르원","농업회사법인㈜푸르원","2024년","건목이버섯/무농약/0.1kg"
"가공식품","농산물가공식품","건블루베리","1118287","건블루베리/율성맑은아침","","2023년","건블루베리/수입산/0.1kg"
"가공식품","농산물가공식품","건크렌베리","1118288","건크렌베리/율성맑은아침","","2023년","건크렌베리/수입산/0.1kg"
"가공식품","농산물가공식품","건포도","1118289","건포도/율성맑은아침","","2023년","건포도/수입산/0.1kg"
"가공식품","농산물가공식품","건표고가공품","1118290","건표고/율성맑은아침","","2023년","건표고 슬라이스/0.1kg"
"가공식품","농산물가공식품","건표고가공품","1118291","건표고/율성맑은아침","","2023년","건표고 슬라이스/수입산/0.1kg"
"가공식품","농산물가공식품","건표고가공품","1118292","건표고/율성맑은아침","","2023년","건표고 슬라이스/무농약/0.1kg"
"가공식품","농산물가공식품","건표고가공품","1118293","건표고가공품","","2022년","건표고 슬라이스(유기농)"
"가공식품","농산물가공식품","건표고가공품","1118294","건표고/푸르원","농업회사법인㈜푸르원","2024년","건표고 슬라이스/0.1kg"
"가공식품","농산물가공식품","건표고가공품","1118296","건표고/율성맑은아침","","2023년","건표고버섯/수입산/0.1kg"
"가공식품","농산물가공식품","건표고가공품","1118297","건표고/율성맑은아침","","2023년","건표고버섯/무농약/0.1kg"
"가공식품","농산물가공식품","건표고가공품","1118298","건표고가공품","","2022년","건표고버섯(유기농)"
"가공식품","농산물가공식품","건표고가공품","1118299","건표고/푸르원","농업회사법인㈜푸르원","2024년","건표고버섯/0.1kg"
"가공식품","농산물가공식품","건표고가공품","1118300","건표고/푸르원","농업회사법인㈜푸르원","2024년","건표고버섯/친환경/0.1kg"
"가공식품","농산물가공식품","건표고가공품","1118301","건표고/하늘촌","","2024년","건표고버섯/무농약/1kg"
"가공식품","농산물가공식품","건표고가공품","1118302","건표고/율성맑은아침","","2023년","건표고버섯(깍둑썰기)/0.1kg"
"가공식품","농산물가공식품","건표고가공품","1118303","건표고/율성맑은아침","","2023년","건표고버섯(깍둑썰기)/수입산/0.1kg"
"가공식품","농산물가공식품","건표고가공품","1118304","건표고/율성맑은아침","","2023년","건표고버섯(깍둑썰기)/무농약/0.1kg"
"가공식품","농산물가공식품","건표고가공품","1118305","건표고가공품","","2022년","건표고버섯(깍둑썰기)(유기농)"
"가공식품","농산물가공식품","건표고가공품","1118306","건표고/율성맑은아침","","2023년","건표고버섯(동고)/0.1kg"
"가공식품","농산물가공식품","건표고가공품","1118307","건표고/율성맑은아침","","2023년","건표고버섯(밥용)/0.1kg"
