식재료,식재료 설명
무,무/친환경/생것/전남산
배,배(신고)/일반/생것/나주산
파프리카,파프리카/적색과/친환경/파프리카/적색과/전남산
계란,계란/1등급/무항생제/30구/(1.8kg)
대파,대파/무농약/도내산/1kg
무,무/무농약/도내산/1kg
방울토마토,방울토마토/친환경/생것/방울/전남산
양배추,양배추/친환경/생것/나주산
찌개용두부,찌개용두부(420g)
깐단호박,깐단호박(죽용)/일반/전처리/절단/단호박/죽용
피망,피망/일반/생것/나주산
무세척,무세척/예산 해담영농/무세척/전처리제품
다시마,다시마(200g)
유기농토마토케찹,유기농토마토케찹(250g)
정육,닭고기/정육/1등급/국내산/무뼈/무스킨/냉장
후지,돼지/후지/갈은고기/무항생제/국내산/냉장
느타리버섯,느타리버섯/친환경/국산
귤,귤/유(1.5kg)
유기농설탕,유기농설탕/유기가공식품(K)
손질갑오징어,손질갑오징어(350g)/3~6미
팽이버섯,팽이버섯/충남친농연/팽이버섯/친환경
계란,계란/무항생제/1등급/냉장3
굵은소금,굵은소금(3kg)
애호박,애호박/친환경/생것/나주산
다시마,다시마/국내산100%
제주목초무항생우유,무항생제 원유/제주산/냉장/한들코리아/900ml
배추,배추/원주푸드/국내산/1kg
무항생제정육,무항생제정육/껍질무/닭/냉장/무항생제/정육/껍질무/국내산
야채꼬마핫도그,야채꼬마핫도그/우리밀(C)
동태살,동태살절단/20G~80G/포장단위1kg~10kg
양지,양지(국거리)/한우/냉장/1등급/양지(국거리)/일반
브로콜리,브로콜리/친환경/생것/전남산
아침에마시는사과즙,과·채주스/국내산(사과 100%)/HACCP/마하/100ml
감자,감자/생것/충남친농연/감자/생것/친환경
새송이버섯,새송이버섯/친환경/국산
순두부,순두부/국내산/냉장/400g
달콤닭정육,달콤닭정육/친환경원재료(T)
앞다리,앞다리(불고기)/한우/냉장/1등급/앞다리(불고기)/일반
갓,갓(청)/일반/생것/나주산
핫케이크가루,핫케이크가루/우리밀(C)
계란,계란/1등급/무항생제/10구/(0.6kg)
배,배/친환경/생것/전남산
감말랭이,감말랭이/일반/생것/나주산
상추,상추/일반/생것/나주산
귤,귤/친환경/생것/제주산/65g내외
귤,귤/친환경/생것/제주산/80g내외
파,파/친환경/국산/대파(깐것)
유부,유부/Non-GMO(S)
수수,수수/국내산/1kg
후지,후지(다짐)/돼지/냉장/1등급/후지/다짐/국내산/일반
양파,양파/친환경/생것/전남산
안심,닭고기/안심/1등급/국내산/냉장
참맛핫도그,참맛핫도그(1kg:20개)
토마토,토마토/원주푸드/국내산/1kg
방울토마토,방울토마토/원주푸드/국내산/1kg
혼합잡곡,혼합잡곡/친환경/국산
양파,양파/친환경/국산/깐양파
아침스프,아침스프/화학첨가물최소화(U)
달지않은곡물플레이크,달지않은곡물플레이크(300g)
자장가루,자장가루/우리밀(C)
콩나물,콩나물/친환경/홍성산
고구마,고구마(호박)/일반/전처리/세척/나주산
선한,선한 유기농 된장/대두85%/죽염15%/국내산
오이,오이(취청)/친환경/생것/오이/취정/나주산
구이용삼치,구이용삼치(1kg)(4~5쪽)
등갈비,등갈비/돼지/냉장/1등급/등갈비/국내산/일반
양상추,양상추/친환경/생것/나주산
친환경,서류/친환경/감자/국내산
숙주나물,숙주나물/일반/생것/국내산
삼겹,삼겹(구이용)/돼지/냉장/1등급/삼겹/구이용/국내산/일반
누룽지,누룽지/무농약(D)
통밀스파게티,통밀스파게티/유기농(B)
백미,백미/백미/친환경
조선무,조선무/뿌리/충남친농연/조선무/뿌리/친환경
토마토,토마토/친환경/국산/완숙/5kg(25과)
피망,피망/친환경/국산/녹색과
소보로단팥빵,소보로단팥빵/우리밀(C)
리얼칩단감,리얼칩단감/일반(F)
건다시마,건다시마/특상/포장단위100g~1kg
절단육,닭고기/절단육/1등급/국내산/볶음탕/무스킨/냉장
백두대간,청차조/국내산/1kg
냉동다진마늘,마늘/국산/유기농/냉동/웰팜넷㈜/180g
앞다리,한우/앞다리/1등급/국내산/불고기/냉장
등심,돼지고기/등심/1등급/국내산/냉동
목살,돼지고기/목살/1등급/국내산/냉장
갑오징어채,갑오징어채다리포함1*5절단/포장단위1kg~10kg
멸치액젓,멸치추출액100%/국산/상온/초록섬/1kg
치커리,치커리/친환경/생것/전남산
백미,백미(무농약)/무농약/생것/나주산/10kg/봉지
진짜부산어묵네모어묵,어육/베트남산/냉장/대광F&C/300g
파프리카,파프리카/주황색과/친환경/파프리카/주황색과/전남산
배추,배추/일반/생것/나주산
찌개두부,두부/국내산/찌개/냉장/400g
콩나물,콩나물/친환경/국내산/1kg
건무청시래기,건무청시래기/일반/말림류/나주산
부침두부,두부/국내산/부침/냉장/400g
친환경,나물류/친환경/참나물/국내산
친환경데친고사리,데침류/고사리/국산/친환경
순살고등어,순살고등어/방사능검사 필(H)
카레,카레(순한맛:100g)
친환경,엽채류/친환경/청경채/국내산
친환경세척연근,반찬류/세척연근/국산/친환경
친환경깐통연근,반찬류/통연근(깐)/국산/친환경
고구마,고구마/친환경/생것/전남산
달걀,달걀(전란)/무항생제/HACCP인증/1등급/국내산/특란/냉장/(60g*30개)
돼지고기,"돼지고기(뒷다리)/날것/국내,불고기용썰기,냉장"
건목이버섯,건목이버섯(20g)
현미,현미/일반/생것/나주산
사과,사과 / 일반 국내산 / 260g~330g
다시멸치,다시멸치/국물용/특상/포장단위500g~1kg
완숙토마토,완숙토마토/친환경/생것/완숙/전남산
대파,대파/일반/생것/나주산
배추,배추/얼갈이/배추/얼갈이/친환경
미역줄기,미역줄기(300g)
저염어린이김,저염어린이김/김56%/국내산/9봉지
청솔목장우유,청솔목장우유/원유100%/나주산
감,감(단감)/일반/생것/나주산
치커리,치커리/일반/생것/나주산
유정란,유정란(동물복지)/동물복지/난류/유정란/나주산/30구
무항생제절단육,무항생제절단육/닭/냉장/무항생제/절단육/국내산
큰바위골드당면,고구마전분99.99%/키토산분말/국산/(유)큰바위식품/500g
무농약꿀유자차,유자/사양벌꿀/국산/무농약/㈜초록원/1kg
쇠고기,"쇠고기(한우)/등심/국내한우2등급이상,냉장,불고기용썰기"
돼지고기동그랑땡,돼지고기동그랑땡(400g)
상추,상추/친환경/국산/청색
소고기동그랑땡,소고기동그랑땡(400g)
우리밀미트스파게티,우리밀미트스파게티/화학첨가물최소화(U)/680g
"보리,보리쌀",쌀보리/친환경/국산
기장,기장/일반/생것/전남산
버섯,버섯/팽이버섯/친환경/버섯/생것/나주산
포기김치,포기김치/국내산/HAPPC인증/일반/생것
표고버섯,표고버섯(무농약)/무농약/생것/나주산
새우육젓,새우육젓/방사능검사 필(H)
지리멸치,볶음용/지리멸치/포장단위100g~1kg
고추가루,고추가루/일반/특품건고추/전남산
우리밀칼국수,우리밀칼국수/우리밀(C)
잡뼈,한우/잡뼈/1등급/국내산/냉동
목심,한우/목심/1등급/국내산/국거리/냉장
자른손당면,자른손당면/친환경원재료(T)
목살,목살(수육용)/돼지/냉동/1등급/목살/수육용/국내산/일반
검은콩두유,검은콩/멸균/국산/성연식품㈜/195ml
데친고사리,데친고사리/일반/데친나물/전남산/HAPPC인증
현미녹차,침출차 / 볶은 현미 70%(국내산) 녹차 30%(국내산) / ㈜동서 /1.5g*25
떡볶이떡,쌀/무방부제/무색소/유기농/국산/냉장/(유)큰바위식품/600g
무항생제가슴살,무항생제가슴살/다짐/닭/냉장/무항생제/가슴살/다짐/국내산
맛있게튀겨진유부초밥,대두/국산/무빙초산/무합성착향료/무합성착색료/어깨동무/328g
부추,부추/친환경/생것/나주산
우엉채,우엉채/일반/전처리/나주산
옥수수차,옥수수차/Non-GMO(S)
씨암탉떡갈비,씨암탉떡갈비/무항생제축산물(J)
감자,감자/유기농/도내산/1kg
가자미,가자미/절단/haccp/40g~80g포장단위1kg~10kg
귤,귤/유(3kg)
우리밀자장면,우리밀자장면(냉동)/친환경원재료(T)
한우고기곰탕,한우고기곰탕/친환경원재료(T)
감자,감자/친환경/생것/나주산
당근,당근/무농약/원주산/1kg
백두대간,흑미/국내산/500g
올레길깐볼*대,올레길깐볼(깐메추리알)*대/무항생제축산물(J)
사태,한우/사태/1등급/국내산/국거리/냉장
김자반볶음,김자반볶음(40g)
간장,"국간장/전통식품인증/국내산(콩메주, 천일염 등)/12개월 이상 숙성/5kg"
냉동치즈떡볶이떡,냉동치즈떡볶이떡(300g)
양파,양파/친환경/국산
감자,감자/친환경/국산/깐감자
파,파/친환경/국산/대파
두부,두부(1모:420g)
당근,당근/충남친농연/당근/친환경
양파,양파/양파/친환경
고구마,고구마/친환경/국산/호박고구마/찜용(200g내외)
오이,오이(취청)/일반/생것/나주산
선한유기농간장,선한유기농간장/대두82%/죽염18%/국내산
찰보리쌀,찰보리쌀/일반/생것/나주산
고구마,고구마(꿀)/일반/전처리/세척/나주산
새우표포도씨유재래구이김,새우표포도씨유재래구이김/국산김90%/국내산/12봉지
간삼치살,간삼치살(1kg)(4~5쪽)
친환경,채소류/친환경/방울토마토/국내산
데친토란대,데친토란대/일반/데친나물/전남산/HAPPC인증
사조,닭고기81.7% / 사조
고구마,고구마(밤)/일반/전처리/세척/나주산
무항생제성계,무항생제성계/닭/냉장/무항생제/성계/국내산
찰진순대,돈정육/국산/무항생제/냉동/선농생활/400g
콩나물,콩나물/콩나물/친환경
피망,피망/녹색/충남친농연/피망/녹색/친환경
양상추,양상추/무농약/도내산/1kg
뒷다리,뒷다리(불고기)/한우/냉장/1등급/뒷다리(불고기)/일반
볶은참깨,볶은참깨/일반/전처리/나주산
검은콩두유,검은콩두유(가당)/Non-GMO(S)
깐마늘,깐마늘/친환경/전처리/생것/전남산
단호박,단호박/친환경/생것/단호박/전남산
단호박,단호박/일반/생것/나주산
참새우젓,새우젓/국내산/냉장보관/마하탑/500g
깍두기,깍두기/국내산/HAPPC인증/일반/적당숙성
전지,전지(볶음용)/돼지/냉장/1등급/전지/볶음용/국내산/일반
데친건취나물,데친건취나물/일반/데친나물/나주산
덕실두부,덕실두부/일반/두부/전남산
데친배추시래기,데친배추시래기/일반/말림류/전남산/HAPPC인증
배,배/원주푸드/국내산/2전/1kg
사과,사과/원주푸드/국내산/33내/1kg
제주올레길우유,제주올레길우유/일반(F)
당근,당근/원주푸드/국내산/1kg
우리밀,"우리밀 흑미국수/밀가루93.5%/국내산,흑미분말5%/국내산"
찰수수,찰수수/일반/생것/전남산
시금치,시금치/일반/생것/나주산
대파,대파/친환경/생것/나주산
덕실순두부,덕실순두부/일반/두부/전남산
찹쌀백미,찹쌀백미/무농약/원주산/10kg
고사리,고사리/친환경/국산/건데친
우유,우유(범산/900ml)
깐대파,깐대파/일반/전처리/나주산
맘모스빵,맘모스빵/우리밀(C)
등심,돼지고기/등심/1등급/국내산/냉장
안심,돼지고기/안심/1등급/국내산/냉동
우리밀우동면,우리밀우동면(냉동)/친환경원재료(T)
양지,한우/양지/1등급/국내산/냉장
우리밀부침가루,우리밀부침가루/우리밀(C)
오이,오이/친환경/국산/재래종/백오이
달지않은옥수수플레이크,달지않은옥수수플레이크(300g)
슬라이스햄,슬라이스햄(200g)
골든,닭고기70.61% (국내산) / 목우촌
스트링치즈,스트링치즈/원유99.9%/나주산
안심,안심(깍둑)/돼지/냉장/1등급/안심/깍뚝/국내산/일반
단감,단감/친환경/생것/전남산
등심,등심(깍둑)/돼지/냉장/1등급/등심/깍둑/국내산/일반
생강갈은것,생강갈은것/예산 해담영농/생강갈은것/전처리제품
깐단호박,깐단호박(튀김용)/일반/전처리/절단/단호박/튀김용
대추토마토,대추토마토/일반/생것/나주산
전지,전지(불고기용)/돼지/냉장/1등급/전지/불고기용/국내산/일반
미나리,미나리/일반/생것/나주산
달걀,달걀(전란)/무항생제/HACCP인증/1등급/국내산/특란/냉장/(60g*10개)
사태,사태(찌개용)/돼지/냉장/1등급/사태(후지사태)/찌개용/국내산/일반
닭고기볶음밥,닭고기볶음밥(300g)
깐대파,깐대파/친환경/전처리/생것/나주산
깐생강,깐생강/일반/전처리/나주산
북어머리,북어머리/국물용/포장단위100g~1kg
새우표,새우표 파래 완도김/파래김56%/국내산/10봉지
맛김치,맛김치/국내산/HAPPC인증/일반/적당숙성
행복한젖소의유기농딸기요구르트,행복한젖소의유기농딸기요구르트/유기축산물(I)
후지,후지(불고기용)/돼지/냉장/1등급/후지/불고기용/국내산/일반
쌀강정,쌀강정/쌀92%/국내산
제주향기감귤주스,과채음료/제주산무농약감귤/국내산/HACCP/제주친환경/120ml
부추,부추/일반/생것/나주산
거친통밀식빵,식빵/국내산통밀가루25%/실온보관/㈜새롬식품/300g
무농약해바라기씨,견과류/무농약 해바라기씨/국내산/㈜유기샘/140g
건무청시래기,건무청시래기/친환경/건나물/HACCP
유기농찹쌀가루,찹쌀100%/국산/유기농/농림축산식품부인증/㈜에스오제이/600g
자른미역,건미역/절단/포장단위100g~1kg
가자미살,가자미/절단/haccp/30g~80g포장단위1kg~10kg
양배추,양배추/무농약/도내산/1kg
고등어,고등어(토막/500g)
논두렁콩두부,논두렁콩두부(부침용/반판)/Non-GMO(S)
양배추,양배추/충남친농연/양배추/친환경
가슴살,닭고기/가슴살/1등급/국내산/냉장
사태,돼지고기/사태/1등급/국내산/냉장
자른미역,자른미역(50g)
표고버섯,표고버섯/원주푸드/국내산/1kg
백두대간,쌀보리/국내산/1kg
백밀스파게티,백밀스파게티/유기농(B)/500g
돼지고기,"돼지고기(앞다리)/날것/국내,불고기용썰기,냉장"
우리밀우동면,우리밀우동면/우리밀(C)
백미,백미(무농약)/무농약/생것/나주산/20kg/봉지
오일동안들깨가루,오일동안들깨가루/들깨100%/국내산
가슴살,가슴살/닭/냉장/일반/가슴살/국내산
청경채,청경채/친환경/생것/전남산
포기김치,포기김치/국내산/HAPPC인증/일반/적당숙성
새송이버섯,새송이버섯(무농약)/무농약/생것/나주산
김,달인전장김/국내산/상온/㈜광천김/20g(5매)
풋고추,풋고추/친환경/고추/생것/나주산
유정란,유정란/무항생제/난류/유정란/나주산/30구
사태,돼지/사태/불고기/1등급/국내산/냉장
파래전장김,파래전장김(30g)
무항생제가슴살,무항생제가슴살/닭/냉장/무항생제/가슴살/국내산
갈색만가닥버섯,갈색만가닥버섯(150g)
고구마,고구마/유기농/도내산/1kg
콩나물,콩나물/일반/생것/국내산
목살,목살(수육용)/돼지/냉장/1등급/목살/수육용/국내산/일반
등심,등심(돈까스용)/돼지/냉장/1등급/등심/돈까스/국내산/일반
우유,우유(범산/200ml)
깍두기,깍두기/국내산/1kg
쇠고기,"한우(암소)/소양지(총량의50%이상),목심,사태,전지/2등급이상/국거리/덩어리/냉동"
근대,근대/친환경/국산
삼치,삼치(토막:400g)
시금치,시금치/유기농/도내산/1kg
떡국떡,떡국떡/국내산/냉장/1kg
참깨,참깨/일반/생것/참깨/나주산
찌개두부,두부/국내산/찌개/냉장/3kg
맛간장,맛간장(900ml)
오분도현미누룽지,오분도현미누룽지/화학첨가물최소화(U)
차조,차조/일반/생것/전남산
목살,목살(불고기용)/돼지/냉장/1등급/목살/불고기용/국내산/일반
팥찐빵,찐빵/국내산적두/국내산밀가루/냉동보관/㈜새롬식품/550g
실파,실파/일반/생것/나주산
당근,당근/일반/생것/나주산
국산도토리묵,도토리묵전분/국산/실온/어깨동무/400g
늙은호박,늙은호박(절단)/일반/전처리/나주산
전지,전지(수육용)/돼지/냉장/1등급/전지/수육용/국내산/일반
양파,양파/무농약/원주산/1kg
우리밀식빵,우리밀식빵/우리밀(C)
대두유,대두유/유기가공식품(K)
참기름,참기름/국내산/330ml
친환경,엽채류/친환경/부추/국내산
전지,돼지고기/전지/1등급/국내산/냉장
닭고기,"닭고기(넓적다리)/날것/국내무항생제,장각"
새우가루,새우가루(100g)
돼지감자,돼지감자(1kg)
양배추,양배추/친환경/국산/백색
표고버섯,표고버섯/친환경/국산/생
바지락살,바지락순살/포장단위1kg~10kg
깐마늘,깐마늘/국내산/냉장/1kg
백두대간,현미/국내산/500g
기장,기장/친환경/국산
둥글이통통햄,둥글이통통햄(300g)
파프리카,파프리카/친환경/국산/빨강
무농약,벼/무농약/일반미/담양산20kg
깐마늘,깐마늘/일반/전처리/나주산
얼갈이,얼갈이/친환경/생것/배추/얼갈이/나주산
현미유,미강유/국내산/상온/세림현미/500ml
미역,미역(150g)
홍합살,홍합살/겉바지락/해감/포장단위1kg~10kg
갈비,갈비(찜용)/돼지/냉장/1등급/갈비/찜용/국내산/일반
우둔,우둔(잡채용)/한우/냉장/1등급/우둔(잡채용)/일반
근대,근대(청)/친환경/생것/나주산
저지방우유,저지방우유(범산/900ml)
쇠고기,"쇠고기(한우)/우둔/국내한우2등급이상,냉장,불고기용썰기"
백두대간,기장/국내산/500g
정육,닭고기/정육/1등급/국내산/무뼈/스킨/냉장
연근조림용,연근조림용(1/4)/일반/전처리/전남산/HAPPC인증
건가지,건가지/일반/건나물/나주산
미역,미역/국내산100%
아욱,아욱/친환경/생것/나주산
모짜렐라,모짜렐라 치즈/원유99.9%/나주산
적새우살,적새우살/냉동/적새우살/포장단위1kg~10kg/중국산
브로콜리,브로콜리/유기농/도내산/1kg
귤,귤/유(5kg)
새우살,새우살/방사능검사 필(H)
시금치,시금치/친환경/생것/나주산
한우육개장,한우육개장/친환경원재료(T)
양배추,양배추/일반/생것/나주산
버섯,버섯/새송이버섯/친환경/버섯/생것/나주산
불고기햄,불고기햄(400g)
유기농마요네즈,대두유/미국산/상온/대상/330g
안심,돼지고기/안심/1등급/국내산/냉장
친환경,채소류/친환경/단호박/국내산
계란,계란/1등급/무항생제/30구/1.8kg
돼지고기,돼지고기/목살/무항생제/1등급이상/국내산/불고기용/슬라이스/냉동
시금치,시금치/시금치/친환경
오리훈제,오리훈제/친환경원재료(T)
오리고기,"오리고기(집오리)/고기,날것/국내무항생제,불고기용"
소떡갈비,무항생제돈육.한우/우리밀간장/무농약야채
볶음용멸치,멸치/국내산/볶음용/130g
사과,사과 / 일반 국내산 / 200g~250g
애호박,애호박/일반/생것/나주산
삼치살,삼치절단/30G~80G/포장단위1kg~10kg
가슴살,가슴살/깍뚝(1*1)/닭/냉장/일반/가슴살/깍둑/국내산
쌀보리쌀,쌀보리쌀/일반/생것/나주산
쪽파,쪽파/일반/생것/나주산
전지,전지(깍둑)/돼지/냉장/1등급/전지/깍둑/국내산/일반
쇠고기,"쇠고기(한우)/앞다리/국내한우2등급이상,냉장,불고기용썰기"
앞다리,앞다리(잡채용)/한우/냉장/1등급/앞다리(잡채용)/일반
참나물,참나물/친환경/생것/나주산
백두대간,혼합잡곡/국내산/1kg
찰쌀,찰쌀/현미/찰쌀/현미/친환경
감자,감자/친환경/국산/대
백밀스파게티,백밀스파게티/유기농(B)
백만송이버섯,백만송이버섯/무농약(D)
쑥갓,쑥갓/친환경/생것/나주산
깻잎순,깻잎순/친환경/생것/나주산
깐쪽파,깐쪽파/일반/전처리/나주산
후랑크소시지,후랑크소시지(300g)
찰흑미,찰흑미/일반/생것/나주산
목심,목심(불고기)/한우/냉장/1등급/목심(불고기)/일반
아욱,아욱/일반/생것/나주산
깐단호박,깐단호박(찜용)/일반/전처리/절단/단호박/찜용
뒷다리,뒷다리(국거리)/한우/냉장/1등급/뒷다리(국거리)/일반
전두부,전두부/일반/두유액100%/전두부/국내산
